START	rep1_2zuq_01	on 2017 June 10 at 01:42:39
TIME	parts_115_to_115_interaction_energies	193.47
TIME	parts_122_to_122_interaction_energies	194.34
TIME	parts_121_to_121_interaction_energies	195.44
TIME	parts_129_to_129_interaction_energies	194.08
TIME	parts_128_to_128_interaction_energies	190.39
TIME	parts_126_to_126_interaction_energies	191.43
TIME	parts_130_to_130_interaction_energies	194.45
TIME	parts_134_to_134_interaction_energies	190.74
TIME	parts_133_to_133_interaction_energies	197.14
TIME	parts_135_to_135_interaction_energies	190.11
TIME	parts_132_to_132_interaction_energies	202.57
TIME	parts_131_to_131_interaction_energies	204.0
TIME	parts_125_to_125_interaction_energies	192.5
TIME	parts_136_to_136_interaction_energies	190.91
TIME	parts_139_to_139_interaction_energies	183.24
TIME	parts_137_to_137_interaction_energies	185.47
TIME	parts_138_to_138_interaction_energies	185.62
TIME	parts_141_to_141_interaction_energies	194.85
TIME	parts_140_to_140_interaction_energies	195.67
TIME	parts_144_to_144_interaction_energies	185.86
TIME	parts_142_to_142_interaction_energies	193.75
TIME	parts_146_to_146_interaction_energies	186.51
TIME	parts_143_to_143_interaction_energies	187.92
TIME	parts_147_to_147_interaction_energies	195.58
TIME	parts_148_to_148_interaction_energies	197.14
TIME	parts_145_to_145_interaction_energies	192.72
TIME	parts_151_to_151_interaction_energies	191.3
TIME	parts_153_to_153_interaction_energies	191.63
TIME	parts_149_to_149_interaction_energies	189.81
TIME	parts_150_to_150_interaction_energies	192.09
TIME	parts_154_to_154_interaction_energies	194.15
TIME	parts_152_to_152_interaction_energies	193.05
TIME	parts_157_to_157_interaction_energies	189.33
TIME	parts_169_to_169_interaction_energies	185.94
TIME	parts_156_to_156_interaction_energies	195.09
TIME	parts_159_to_159_interaction_energies	192.03
TIME	parts_161_to_161_interaction_energies	195.7
TIME	parts_160_to_160_interaction_energies	191.85
TIME	parts_158_to_158_interaction_energies	193.21
TIME	parts_164_to_164_interaction_energies	189.96
TIME	parts_168_to_168_interaction_energies	187.04
TIME	parts_163_to_163_interaction_energies	198.64
TIME	parts_155_to_155_interaction_energies	204.71
TIME	parts_162_to_162_interaction_energies	202.82
TIME	parts_172_to_172_interaction_energies	189.54
TIME	parts_167_to_167_interaction_energies	189.68
TIME	parts_173_to_173_interaction_energies	192.16
TIME	parts_171_to_171_interaction_energies	194.94
TIME	parts_166_to_166_interaction_energies	192.43
TIME	parts_170_to_170_interaction_energies	196.72
TIME	parts_176_to_176_interaction_energies	190.78
TIME	parts_177_to_177_interaction_energies	190.82
TIME	parts_174_to_174_interaction_energies	191.04
TIME	parts_178_to_178_interaction_energies	194.87
TIME	parts_181_to_181_interaction_energies	193.12
TIME	parts_175_to_175_interaction_energies	193.77
TIME	parts_183_to_183_interaction_energies	194.52
TIME	parts_184_to_184_interaction_energies	187.83
TIME	parts_182_to_182_interaction_energies	192.91
TIME	parts_180_to_180_interaction_energies	195.85
TIME	parts_190_to_190_interaction_energies	182.86
TIME	parts_191_to_191_interaction_energies	189.37
TIME	parts_192_to_192_interaction_energies	190.11
TIME	parts_188_to_188_interaction_energies	186.79
TIME	parts_189_to_189_interaction_energies	186.37
TIME	parts_185_to_185_interaction_energies	191.49
TIME	parts_179_to_179_interaction_energies	187.25
TIME	parts_196_to_196_interaction_energies	194.66
TIME	parts_195_to_195_interaction_energies	193.8
TIME	parts_187_to_187_interaction_energies	195.96
TIME	parts_193_to_193_interaction_energies	195.58
TIME	parts_186_to_186_interaction_energies	199.23
TIME	parts_194_to_194_interaction_energies	194.72
TIME	parts_197_to_197_interaction_energies	193.35
TIME	parts_199_to_199_interaction_energies	191.18
TIME	parts_198_to_198_interaction_energies	192.13
TIME	parts_201_to_201_interaction_energies	192.56
TIME	parts_200_to_200_interaction_energies	195.81
TIME	parts_203_to_203_interaction_energies	195.65
TIME	parts_204_to_204_interaction_energies	198.45
TIME	parts_205_to_205_interaction_energies	200.82
TIME	parts_202_to_202_interaction_energies	194.59
TIME	parts_208_to_208_interaction_energies	185.89
TIME	parts_210_to_210_interaction_energies	186.25
TIME	parts_209_to_209_interaction_energies	186.63
TIME	parts_211_to_211_interaction_energies	193.88
TIME	parts_212_to_212_interaction_energies	187.73
TIME	parts_214_to_214_interaction_energies	186.81
TIME	parts_213_to_213_interaction_energies	186.02
TIME	parts_223_to_223_interaction_energies	186.3
TIME	parts_216_to_216_interaction_energies	195.98
TIME	parts_215_to_215_interaction_energies	194.15
TIME	parts_219_to_219_interaction_energies	188.63
TIME	parts_224_to_224_interaction_energies	191.38
TIME	parts_221_to_221_interaction_energies	194.32
TIME	parts_227_to_227_interaction_energies	185.85
TIME	parts_220_to_220_interaction_energies	194.22
TIME	parts_218_to_218_interaction_energies	193.81
TIME	parts_225_to_225_interaction_energies	197.49
TIME	parts_217_to_217_interaction_energies	194.66
TIME	parts_222_to_222_interaction_energies	195.02
TIME	parts_207_to_207_interaction_energies	193.79
TIME	parts_226_to_226_interaction_energies	197.49
TIME	parts_235_to_235_interaction_energies	187.16
TIME	parts_228_to_228_interaction_energies	191.94
TIME	parts_234_to_234_interaction_energies	192.97
TIME	parts_239_to_239_interaction_energies	193.32
TIME	parts_240_to_240_interaction_energies	193.32
TIME	parts_233_to_233_interaction_energies	191.66
TIME	parts_230_to_230_interaction_energies	196.97
TIME	parts_236_to_236_interaction_energies	198.28
TIME	parts_231_to_231_interaction_energies	193.97
TIME	parts_246_to_246_interaction_energies	185.55
TIME	parts_232_to_232_interaction_energies	194.73
TIME	parts_229_to_229_interaction_energies	199.2
TIME	parts_238_to_238_interaction_energies	197.0
TIME	parts_237_to_237_interaction_energies	199.23
TIME	parts_245_to_245_interaction_energies	194.4
TIME	parts_248_to_248_interaction_energies	197.54
TIME	parts_241_to_241_interaction_energies	195.79
TIME	parts_247_to_247_interaction_energies	195.22
TIME	parts_249_to_249_interaction_energies	197.55
TIME	parts_257_to_257_interaction_energies	186.85
TIME	parts_242_to_242_interaction_energies	197.17
TIME	parts_250_to_250_interaction_energies	192.76
TIME	parts_253_to_253_interaction_energies	191.22
TIME	parts_256_to_256_interaction_energies	188.15
TIME	parts_258_to_258_interaction_energies	192.93
TIME	parts_243_to_243_interaction_energies	192.48
TIME	parts_244_to_244_interaction_energies	193.07
TIME	parts_255_to_255_interaction_energies	188.5
TIME	parts_254_to_254_interaction_energies	188.84
TIME	parts_252_to_252_interaction_energies	195.27
TIME	parts_260_to_260_interaction_energies	196.12
TIME	parts_259_to_259_interaction_energies	194.72
TIME	parts_261_to_261_interaction_energies	193.86
TIME	parts_263_to_263_interaction_energies	191.9
TIME	parts_251_to_251_interaction_energies	193.25
TIME	parts_268_to_268_interaction_energies	189.88
TIME	parts_262_to_262_interaction_energies	194.99
TIME	parts_264_to_264_interaction_energies	199.31
TIME	parts_265_to_265_interaction_energies	195.89
TIME	parts_267_to_267_interaction_energies	194.43
TIME	parts_269_to_269_interaction_energies	199.38
TIME	parts_266_to_266_interaction_energies	199.17
TIME	parts_270_to_270_interaction_energies	198.01
TIME	parts_271_to_271_interaction_energies	200.17
TIME	parts_272_to_272_interaction_energies	197.46
TIME	parts_273_to_273_interaction_energies	201.28
TIME	parts_274_to_274_interaction_energies	204.52
TIME	parts_275_to_275_interaction_energies	196.72
TIME	parts_278_to_278_interaction_energies	183.7
TIME	parts_276_to_276_interaction_energies	187.82
TIME	parts_277_to_277_interaction_energies	187.92
TIME	parts_279_to_279_interaction_energies	191.34
TIME	parts_280_to_280_interaction_energies	194.02
TIME	parts_283_to_283_interaction_energies	189.52
TIME	parts_282_to_282_interaction_energies	191.65
TIME	parts_291_to_291_interaction_energies	190.3
TIME	parts_286_to_286_interaction_energies	190.57
TIME	parts_290_to_290_interaction_energies	192.47
TIME	parts_288_to_288_interaction_energies	193.74
TIME	parts_284_to_284_interaction_energies	193.66
TIME	parts_285_to_285_interaction_energies	194.6
TIME	parts_287_to_287_interaction_energies	193.42
TIME	parts_293_to_293_interaction_energies	200.64
TIME	parts_294_to_294_interaction_energies	198.61
TIME	parts_289_to_289_interaction_energies	197.16
TIME	parts_292_to_292_interaction_energies	200.05
TIME	parts_296_to_296_interaction_energies	195.76
TIME	parts_301_to_301_interaction_energies	188.54
TIME	parts_297_to_297_interaction_energies	196.58
TIME	parts_302_to_302_interaction_energies	197.19
TIME	parts_299_to_299_interaction_energies	197.99
TIME	parts_300_to_300_interaction_energies	195.81
TIME	parts_298_to_298_interaction_energies	198.37
TIME	parts_305_to_305_interaction_energies	194.69
TIME	parts_308_to_308_interaction_energies	199.88
TIME	parts_303_to_303_interaction_energies	198.02
TIME	parts_306_to_306_interaction_energies	192.36
TIME	parts_307_to_307_interaction_energies	195.05
TIME	parts_323_to_323_interaction_energies	185.25
