START	bench_5ire	on 2017 May 26 at 17:25:45
TIME	interaction_energies_for_MAPs_part_KCDR3_179	343.13
TIME	interaction_energies_for_MAPs_part_KCDR3_161	337.97
TIME	interaction_energies_for_MAPs_part_KCDR3_158	338.3
TIME	interaction_energies_for_MAPs_part_KCDR3_159	339.02
TIME	interaction_energies_for_MAPs_part_KCDR3_194	333.35
TIME	interaction_energies_for_MAPs_part_KCDR3_175	328.0
TIME	interaction_energies_for_MAPs_part_KCDR3_153	335.79
TIME	interaction_energies_for_MAPs_part_KCDR3_150	338.63
TIME	interaction_energies_for_MAPs_part_KCDR3_174	328.92
TIME	interaction_energies_for_MAPs_part_KCDR3_145	324.03
TIME	interaction_energies_for_MAPs_part_KCDR3_146	329.78
TIME	interaction_energies_for_MAPs_part_KCDR3_147	329.85
TIME	interaction_energies_for_MAPs_part_KCDR3_148	330.53
TIME	interaction_energies_for_MAPs_part_KCDR3_164	336.38
TIME	interaction_energies_for_MAPs_part_KCDR3_162	339.14
TIME	interaction_energies_for_MAPs_part_KCDR3_140	322.84
TIME	interaction_energies_for_MAPs_part_KCDR3_15	335.67
TIME	interaction_energies_for_MAPs_part_KCDR3_157	338.25
TIME	interaction_energies_for_MAPs_part_KCDR3_156	338.18
TIME	interaction_energies_for_MAPs_part_KCDR3_139	337.6
TIME	interaction_energies_for_MAPs_part_KCDR3_135	337.89
TIME	interaction_energies_for_MAPs_part_KCDR3_136	337.29
TIME	interaction_energies_for_MAPs_part_KCDR3_189	335.35
TIME	interaction_energies_for_MAPs_part_KCDR3_177	337.61
TIME	interaction_energies_for_MAPs_part_KCDR3_154	329.96
TIME	interaction_energies_for_MAPs_part_KCDR3_16	334.53
TIME	interaction_energies_for_MAPs_part_KCDR3_132	322.11
TIME	interaction_energies_for_MAPs_part_KCDR3_142	323.23
TIME	interaction_energies_for_MAPs_part_KCDR3_130	324.51
TIME	interaction_energies_for_MAPs_part_KCDR3_149	332.65
TIME	interaction_energies_for_MAPs_part_KCDR3_131	333.89
TIME	interaction_energies_for_MAPs_part_KCDR3_141	341.93
TIME	interaction_energies_for_MAPs_part_KCDR3_137	338.76
TIME	interaction_energies_for_MAPs_part_KCDR3_138	337.07
TIME	interaction_energies_for_MAPs_part_KCDR3_13	341.62
TIME	interaction_energies_for_MAPs_part_KCDR3_134	337.66
TIME	interaction_energies_for_MAPs_part_KCDR3_133	339.23
TIME	interaction_energies_for_MAPs_part_KCDR3_11	337.6
TIME	interaction_energies_for_MAPs_part_KCDR3_115	338.62
TIME	interaction_energies_for_MAPs_part_KCDR3_114	339.03
TIME	interaction_energies_for_MAPs_part_KCDR3_155	333.0
TIME	interaction_energies_for_MAPs_part_KCDR3_169	329.69
TIME	interaction_energies_for_MAPs_part_KCDR3_105	332.88
TIME	interaction_energies_for_MAPs_part_KCDR3_144	331.31
TIME	interaction_energies_for_MAPs_part_KCDR3_12	329.5
TIME	interaction_energies_for_MAPs_part_KCDR3_129	329.48
TIME	interaction_energies_for_MAPs_part_KCDR3_128	330.82
TIME	interaction_energies_for_MAPs_part_KCDR3_96	321.5
TIME	interaction_energies_for_MAPs_part_KCDR3_97	332.66
TIME	interaction_energies_for_MAPs_part_KCDR3_125	340.21
TIME	interaction_energies_for_MAPs_part_KCDR3_119	330.6
TIME	interaction_energies_for_MAPs_part_KCDR3_120	339.48
TIME	interaction_energies_for_MAPs_part_KCDR3_91	340.25
TIME	interaction_energies_for_MAPs_part_KCDR3_112	338.06
TIME	interaction_energies_for_MAPs_part_KCDR3_113	337.76
TIME	interaction_energies_for_MAPs_part_KCDR3_86	336.97
TIME	interaction_energies_for_MAPs_part_KCDR3_80	336.65
TIME	interaction_energies_for_MAPs_part_KCDR3_81	338.2
TIME	interaction_energies_for_MAPs_part_KCDR3_152	332.01
TIME	interaction_energies_for_MAPs_part_KCDR3_143	329.66
TIME	interaction_energies_for_MAPs_part_KCDR3_103	330.06
TIME	interaction_energies_for_MAPs_part_KCDR3_127	333.03
TIME	interaction_energies_for_MAPs_part_KCDR3_94	329.11
TIME	interaction_energies_for_MAPs_part_KCDR3_93	329.5
TIME	interaction_energies_for_MAPs_part_KCDR3_92	329.72
TIME	interaction_energies_for_MAPs_part_KCDR3_95	340.25
TIME	interaction_energies_for_MAPs_part_KCDR3_124	329.66
TIME	interaction_energies_for_MAPs_part_KCDR3_117	334.69
TIME	interaction_energies_for_MAPs_part_KCDR3_118	341.16
TIME	interaction_energies_for_MAPs_part_KCDR3_8	338.24
TIME	interaction_energies_for_MAPs_part_KCDR3_83	340.41
TIME	interaction_energies_for_MAPs_part_KCDR3_6	337.37
TIME	interaction_energies_for_MAPs_part_KCDR3_70	338.32
TIME	interaction_energies_for_MAPs_part_KCDR3_58	323.59
