358.96 -1.25 -10 13.75 +6.6221
359.82 5 2.5 11.25 +1e+10
358.96 2.5 -1.25 16.25 -26.6047
359.32 2.5 0 10 +1e+10
359.09 10 -10 12.5 +13005.6
355.86 1.25 2.5 15 +193402
359.32 8.75 -3.75 12.5 +1e+10
359.32 -3.75 -1.25 11.25 +1.07538e+08
359.32 -5 -1.25 10 +5.2534e+09
355.86 -1.25 -10 15 +5.7884
358.96 7.5 2.5 12.5 +1.16499e+09
355.86 -2.5 -2.5 15 +2.9813
358.85 -3.75 5 16.25 +13152.1
358.96 8.75 1.25 13.75 +6.97983e+07
359.82 -2.5 -7.5 7.5 +1e+10
358.96 -5 3.75 16.25 +2821.19
344.85 6.25 -6.25 5 +1.76157e+09
352.57 -3.75 5 13.75 +920490
358.85 10 1.25 5 +1e+10
359.32 3.75 3.75 15 +1e+10
359.32 5 -6.25 16.25 +3.3185
358.96 -2.5 3.75 12.5 +1.76042e+06
355.86 0 -3.75 12.5 +1818.86
358.85 -2.5 -7.5 16.25 +2.4109
355.86 -1.25 -7.5 13.75 +9.0321
358.96 1.25 -3.75 12.5 +847.456
352.57 -1.25 -2.5 11.25 +3.9223e+07
358.85 -2.5 -1.25 7.5 +1e+10
358.96 5 -5 11.25 +1e+10
359.82 -5 -7.5 16.25 +0.9026
358.85 1.25 -6.25 10 +2.12569e+07
352.57 -5 -2.5 15 +12.8395
359.32 -2.5 1.25 8.75 +1e+10
358.96 8.75 -2.5 12.5 +8.70466e+07
359.82 -1.25 -8.75 7.5 +1.102e+09
358.85 7.5 -8.75 10 +3.81458e+08
358.85 6.25 1.25 12.5 +1e+10
359.82 -1.25 -2.5 8.75 +1e+10
358.85 6.25 -1.25 12.5 +1.042e+09
359.32 3.75 -6.25 12.5 +127.421
344.85 -2.5 -7.5 8.75 +1.63655e+06
358.85 3.75 2.5 12.5 +1e+10
358.85 10 3.75 7.5 +1e+10
359.32 -5 2.5 12.5 +1e+10
352.57 0 0 15 +91.2323
344.85 5 -7.5 16.25 +4.1147
358.85 8.75 1.25 16.25 +7.61562e+08
355.86 0 -1.25 11.25 +1e+10
359.82 7.5 -1.25 13.75 +1.65574e+08
359.82 0 -8.75 16.25 +4.9556
352.57 -1.25 -5 15 +3.8016
358.85 7.5 -5 16.25 +631044
359.09 -3.75 -10 15 +4.9553
355.86 -2.5 -3.75 15 -0.7617
358.85 -1.25 3.75 13.75 +1.69326e+08
355.86 -1.25 -8.75 8.75 +118901
359.82 -2.5 -10 15 +6.0273
352.57 10 0 16.25 +1.33473e+07
358.85 -3.75 5 8.75 +3.94994e+08
359.82 -5 -7.5 12.5 +0.062
359.82 8.75 3.75 12.5 +1.76741e+08
359.32 -3.75 3.75 15 +1.16626e+06
358.85 -2.5 -7.5 8.75 +8.26449e+07
344.85 -1.25 -6.25 16.25 +2.7743
