START	bench_2ck0	on 2017 May 14 at 21:29:00
TIME	interaction_energies_for_MAPs_part_KCDR3_145	74.47
TIME	interaction_energies_for_MAPs_part_KCDR3_147	74.6
TIME	interaction_energies_for_MAPs_part_KCDR3_148	77.26
TIME	interaction_energies_for_MAPs_part_KCDR3_146	75.41
TIME	interaction_energies_for_MAPs_part_KCDR3_142	79.09
TIME	interaction_energies_for_MAPs_part_KCDR3_124	73.19
TIME	interaction_energies_for_MAPs_part_KCDR3_123	73.82
TIME	interaction_energies_for_MAPs_part_KCDR3_122	74.14
TIME	interaction_energies_for_MAPs_part_KCDR3_176	83.24
TIME	interaction_energies_for_MAPs_part_KCDR3_175	83.55
TIME	interaction_energies_for_MAPs_part_KCDR3_139	76.41
TIME	interaction_energies_for_MAPs_part_KCDR3_135	74.18
TIME	interaction_energies_for_MAPs_part_KCDR3_163	74.79
TIME	interaction_energies_for_MAPs_part_KCDR3_114	74.37
TIME	interaction_energies_for_MAPs_part_KCDR3_110	72.78
TIME	interaction_energies_for_MAPs_part_KCDR3_112	75.16
TIME	interaction_energies_for_MAPs_part_KCDR3_113	75.96
TIME	interaction_energies_for_MAPs_part_KCDR3_111	78.55
TIME	interaction_energies_for_MAPs_part_KCDR3_106	74.87
TIME	interaction_energies_for_MAPs_part_KCDR3_149	74.7
TIME	interaction_energies_for_MAPs_part_KCDR3_107	76.25
TIME	interaction_energies_for_MAPs_part_KCDR3_105	73.61
TIME	interaction_energies_for_MAPs_part_KCDR3_103	74.8
TIME	interaction_energies_for_MAPs_part_KCDR3_104	74.1
TIME	interaction_energies_for_MAPs_part_KCDR3_151	81.46
TIME	interaction_energies_for_MAPs_part_KCDR3_102	76.81
TIME	interaction_energies_for_MAPs_part_KCDR3_101	75.54
TIME	interaction_energies_for_MAPs_part_KCDR3_159	85.68
TIME	interaction_energies_for_MAPs_part_KCDR3_198	82.91
TIME	interaction_energies_for_MAPs_part_KCDR3_100	72.76
TIME	interaction_energies_for_MAPs_part_KCDR3_99	74.01
TIME	interaction_energies_for_MAPs_part_KCDR3_9	74.03
TIME	interaction_energies_for_MAPs_part_KCDR3_96	73.44
TIME	interaction_energies_for_MAPs_part_KCDR3_94	74.26
TIME	interaction_energies_for_MAPs_part_KCDR3_93	74.38
TIME	interaction_energies_for_MAPs_part_KCDR3_8	75.1
TIME	interaction_energies_for_MAPs_part_KCDR3_89	73.94
TIME	interaction_energies_for_MAPs_part_KCDR3_87	74.09
TIME	interaction_energies_for_MAPs_part_KCDR3_88	77.41
TIME	interaction_energies_for_MAPs_part_KCDR3_90	77.62
TIME	interaction_energies_for_MAPs_part_KCDR3_85	74.13
TIME	interaction_energies_for_MAPs_part_KCDR3_84	74.75
TIME	interaction_energies_for_MAPs_part_KCDR3_108	85.89
TIME	interaction_energies_for_MAPs_part_KCDR3_83	75.33
TIME	interaction_energies_for_MAPs_part_KCDR3_180	75.59
TIME	interaction_energies_for_MAPs_part_KCDR3_92	77.16
TIME	interaction_energies_for_MAPs_part_KCDR3_91	76.61
TIME	interaction_energies_for_MAPs_part_KCDR3_179	73.58
TIME	interaction_energies_for_MAPs_part_KCDR3_17	76.07
TIME	interaction_energies_for_MAPs_part_KCDR3_109	85.82
TIME	interaction_energies_for_MAPs_part_KCDR3_81	77.06
TIME	interaction_energies_for_MAPs_part_KCDR3_80	77.71
TIME	interaction_energies_for_MAPs_part_KCDR3_174	73.19
TIME	interaction_energies_for_MAPs_part_KCDR3_95	73.85
TIME	interaction_energies_for_MAPs_part_KCDR3_171	75.68
TIME	interaction_energies_for_MAPs_part_KCDR3_7	74.06
TIME	interaction_energies_for_MAPs_part_KCDR3_97	82.64
TIME	interaction_energies_for_MAPs_part_KCDR3_98	84.36
TIME	interaction_energies_for_MAPs_part_KCDR3_16	73.93
TIME	interaction_energies_for_MAPs_part_KCDR3_166	75.82
TIME	interaction_energies_for_MAPs_part_KCDR3_165	74.61
TIME	interaction_energies_for_MAPs_part_KCDR3_86	74.7
TIME	interaction_energies_for_MAPs_part_KCDR3_134	85.54
TIME	interaction_energies_for_MAPs_part_KCDR3_160	76.86
TIME	interaction_energies_for_MAPs_part_KCDR3_82	78.72
TIME	interaction_energies_for_MAPs_part_KCDR3_161	79.66
TIME	interaction_energies_for_MAPs_part_KCDR3_79	77.34
TIME	interaction_energies_for_MAPs_part_KCDR3_10	85.33
TIME	interaction_energies_for_MAPs_part_KCDR3_15	73.69
TIME	interaction_energies_for_MAPs_part_KCDR3_140	73.88
TIME	interaction_energies_for_MAPs_part_KCDR3_13	73.93
TIME	interaction_energies_for_MAPs_part_KCDR3_144	79.24
TIME	interaction_energies_for_MAPs_part_KCDR3_138	75.05
TIME	interaction_energies_for_MAPs_part_KCDR3_152	76.86
TIME	interaction_energies_for_MAPs_part_KCDR3_153	77.72
TIME	interaction_energies_for_MAPs_part_KCDR3_178	86.07
TIME	interaction_energies_for_MAPs_part_KCDR3_136	75.39
TIME	interaction_energies_for_MAPs_part_KCDR3_121	76.34
TIME	interaction_energies_for_MAPs_part_KCDR3_137	74.41
TIME	interaction_energies_for_MAPs_part_KCDR3_133	74.63
TIME	interaction_energies_for_MAPs_part_KCDR3_132	74.84
TIME	interaction_energies_for_MAPs_part_KCDR3_12	72.96
TIME	interaction_energies_for_MAPs_part_KCDR3_131	75.01
TIME	interaction_energies_for_MAPs_part_KCDR3_129	75.41
TIME	interaction_energies_for_MAPs_part_KCDR3_126	73.95
TIME	interaction_energies_for_MAPs_part_KCDR3_128	80.24
TIME	interaction_energies_for_MAPs_part_KCDR3_125	75.48
TIME	interaction_energies_for_MAPs_part_KCDR3_119	75.91
TIME	interaction_energies_for_MAPs_part_KCDR3_116	75.65
TIME	interaction_energies_for_MAPs_part_KCDR3_117	77.9
TIME	interaction_energies_for_MAPs_part_KCDR3_118	79.03
TIME	interaction_energies_for_MAPs_part_KCDR3_154	87.05
TIME	interaction_energies_for_MAPs_part_KCDR3_115	74.69
TIME	interaction_energies_for_MAPs_part_KCDR3_155	85.15
TIME	interaction_energies_for_MAPs_part_KCDR3_156	85.7
TIME	interaction_energies_for_MAPs_part_KCDR3_143	84.0
TIME	interaction_energies_for_MAPs_part_KCDR3_76	75.63
TIME	interaction_energies_for_MAPs_part_KCDR3_75	75.42
TIME	interaction_energies_for_MAPs_part_KCDR3_72	75.34
TIME	interaction_energies_for_MAPs_part_KCDR3_73	75.31
TIME	interaction_energies_for_MAPs_part_KCDR3_141	88.03
TIME	interaction_energies_for_MAPs_part_KCDR3_69	77.53
TIME	interaction_energies_for_MAPs_part_KCDR3_78	79.28
TIME	interaction_energies_for_MAPs_part_KCDR3_77	79.84
TIME	interaction_energies_for_MAPs_part_KCDR3_6	74.47
TIME	interaction_energies_for_MAPs_part_KCDR3_120	85.2
TIME	interaction_energies_for_MAPs_part_KCDR3_11	84.45
TIME	interaction_energies_for_MAPs_part_KCDR3_127	80.12
TIME	interaction_energies_for_MAPs_part_KCDR3_67	81.5
TIME	interaction_energies_for_MAPs_part_KCDR3_63	75.11
TIME	interaction_energies_for_MAPs_part_KCDR3_64	75.75
TIME	interaction_energies_for_MAPs_part_KCDR3_61	75.05
TIME	interaction_energies_for_MAPs_part_KCDR3_130	85.38
TIME	interaction_energies_for_MAPs_part_KCDR3_66	77.65
TIME	interaction_energies_for_MAPs_part_KCDR3_65	76.74
TIME	interaction_energies_for_MAPs_part_KCDR3_57	73.43
TIME	interaction_energies_for_MAPs_part_KCDR3_56	73.62
TIME	interaction_energies_for_MAPs_part_KCDR3_62	81.32
TIME	interaction_energies_for_MAPs_part_KCDR3_55	75.78
TIME	interaction_energies_for_MAPs_part_KCDR3_71	75.19
TIME	interaction_energies_for_MAPs_part_KCDR3_74	83.7
TIME	interaction_energies_for_MAPs_part_KCDR3_54	75.39
TIME	interaction_energies_for_MAPs_part_KCDR3_68	74.39
TIME	interaction_energies_for_MAPs_part_KCDR3_52	76.22
TIME	interaction_energies_for_MAPs_part_KCDR3_4	73.02
TIME	interaction_energies_for_MAPs_part_KCDR3_46	79.76
TIME	interaction_energies_for_MAPs_part_KCDR3_45	75.33
TIME	interaction_energies_for_MAPs_part_KCDR3_44	76.29
TIME	interaction_energies_for_MAPs_part_KCDR3_43	74.5
TIME	interaction_energies_for_MAPs_part_KCDR3_3	71.12
TIME	interaction_energies_for_MAPs_part_KCDR3_51	77.75
TIME	interaction_energies_for_MAPs_part_KCDR3_50	78.22
TIME	interaction_energies_for_MAPs_part_KCDR3_39	73.55
TIME	interaction_energies_for_MAPs_part_KCDR3_60	86.29
TIME	interaction_energies_for_MAPs_part_KCDR3_38	76.89
TIME	interaction_energies_for_MAPs_part_KCDR3_37	74.57
