358.96 -1.25 -10 13.75 +0
359.82 5 2.5 11.25 +3.5204
358.96 2.5 -1.25 16.25 -0.0303
359.32 2.5 0 10 +10.7699
359.09 10 -10 12.5 +0.1128
355.86 1.25 2.5 15 -9.0355
359.32 8.75 -3.75 12.5 -1.9012
359.32 -3.75 -1.25 11.25 -7.3313
359.32 -5 -1.25 10 -1.231
355.86 -1.25 -10 15 +0
358.96 7.5 2.5 12.5 -3.6185
355.86 -2.5 -2.5 15 -3.4987
358.85 -3.75 5 16.25 -37.6848
358.96 8.75 1.25 13.75 -3.7676
359.82 -2.5 -7.5 7.5 +0.6158
358.96 -5 3.75 16.25 -33.996
344.85 6.25 -6.25 5 -19.0051
352.57 -3.75 5 13.75 -80.7244
358.85 10 1.25 5 +3431.72
359.32 3.75 3.75 15 -2.4353
359.32 5 -6.25 16.25 +0
358.96 -2.5 3.75 12.5 -51.9957
355.86 0 -3.75 12.5 -0.7873
358.85 -2.5 -7.5 16.25 +0
355.86 -1.25 -7.5 13.75 -0.0191
358.96 1.25 -3.75 12.5 -0.1676
352.57 -1.25 -2.5 11.25 -1.2485
358.85 -2.5 -1.25 7.5 +6.386
358.96 5 -5 11.25 -0.7025
359.82 -5 -7.5 16.25 +0
358.85 1.25 -6.25 10 -0.5346
352.57 -5 -2.5 15 -3.3445
359.32 -2.5 1.25 8.75 +4.4488
358.96 8.75 -2.5 12.5 -3.0767
359.82 -1.25 -8.75 7.5 +0.2809
358.85 7.5 -8.75 10 -0.8198
358.85 6.25 1.25 12.5 -1.9268
359.82 -1.25 -2.5 8.75 +7.752
358.85 6.25 -1.25 12.5 -1.9513
359.32 3.75 -6.25 12.5 +0.0292
344.85 -2.5 -7.5 8.75 -0.4182
358.85 3.75 2.5 12.5 +0.5695
358.85 10 3.75 7.5 -35.8412
359.32 -5 2.5 12.5 -55.9146
352.57 0 0 15 -5.8912
344.85 5 -7.5 16.25 +0
358.85 8.75 1.25 16.25 -0.8711
355.86 0 -1.25 11.25 +1.264
359.82 7.5 -1.25 13.75 -1.9799
359.82 0 -8.75 16.25 +0
352.57 -1.25 -5 15 -0.0661
358.85 7.5 -5 16.25 +0
359.09 -3.75 -10 15 +0
355.86 -2.5 -3.75 15 -1.0784
358.85 -1.25 3.75 13.75 -33.3017
355.86 -1.25 -8.75 8.75 -0.0723
359.82 -2.5 -10 15 +0
352.57 10 0 16.25 -0.9329
358.85 -3.75 5 8.75 -23.7362
359.82 -5 -7.5 12.5 -0.2116
359.82 8.75 3.75 12.5 -5.0076
359.32 -3.75 3.75 15 -45.1163
358.85 -2.5 -7.5 8.75 -0.5367
344.85 -1.25 -6.25 16.25 +0
359.09 1.25 -6.25 15 +0
358.96 5 0 12.5 +0.0579
358.85 10 3.75 16.25 -0.7903
359.82 3.75 -1.25 15 +0.03
359.09 8.75 2.5 16.25 -0.8875
352.57 2.5 -2.5 15 +0.0239
355.86 10 -7.5 15 +0.0477
359.32 2.5 1.25 11.25 +4.9176
359.32 2.5 -1.25 11.25 +3.7833
352.16 7.5 -5 16.25 +0
359.82 7.5 -10 16.25 +0
355.86 -3.75 -10 10 +0.4893
359.82 1.25 0 16.25 -1.6915
352.57 -2.5 -8.75 16.25 +0
355.86 7.5 5 16.25 -0.2661
359.82 -3.75 -7.5 12.5 -0.3796
355.86 1.25 -5 11.25 -0.047
358.96 8.75 -2.5 16.25 -0.2169
358.85 1.25 3.75 11.25 -5.5966
352.16 10 -6.25 15 -0.1192
359.32 5 -1.25 12.5 -0.4859
359.32 -5 -6.25 12.5 -0.2035
355.86 0 -10 16.25 +0
358.85 -3.75 1.25 8.75 +2.8204
355.86 -5 -10 12.5 +0.0456
344.85 1.25 -8.75 13.75 +0
358.96 6.25 -6.25 11.25 -0.775
359.82 -3.75 -8.75 13.75 +0.0054
359.82 -3.75 -1.25 7.5 +2.1027
359.32 -5 5 7.5 +2.36828e+06
359.32 -2.5 -7.5 15 +0
359.82 3.75 -8.75 10 -0.0925
344.85 8.75 -10 16.25 +0
359.82 -2.5 0 12.5 -14.2121
358.85 8.75 3.75 13.75 -3.634
359.82 3.75 -7.5 13.75 +0
358.96 10 -8.75 12.5 +0.0787
359.32 1.25 1.25 15 -5.3999
358.85 -2.5 -6.25 6.25 +3.1544
359.82 -1.25 -7.5 11.25 -0.7256
359.32 -1.25 -5 15 -0.1107
352.57 -5 -3.75 11.25 -1.5218
358.96 8.75 -8.75 11.25 -0.1296
359.32 -3.75 -3.75 11.25 -1.4316
359.32 0 -7.5 5 +2.4908
358.96 6.25 -2.5 15 -0.3493
359.09 6.25 -8.75 15 +0
355.86 0 -10 15 +0
358.96 6.25 -5 8.75 -4.3546
359.82 -1.25 2.5 16.25 -15.0347
344.85 -1.25 -6.25 8.75 -0.4693
359.32 2.5 5 13.75 -8.5353
352.57 7.5 1.25 16.25 -0.6444
358.96 0 3.75 15 -18.5385
352.57 -5 1.25 12.5 -25.0849
358.85 6.25 -2.5 10 -3.0643
358.85 -1.25 -3.75 10 +0.7448
352.16 10 3.75 16.25 -0.5772
358.96 -5 1.25 10 -12.0553
358.96 5 -7.5 10 -0.9541
359.32 7.5 -5 12.5 -0.8585
352.57 -1.25 -7.5 13.75 -0.0032
358.96 8.75 -10 10 -0.1609
358.85 1.25 -7.5 12.5 -0.0397
355.86 -2.5 -8.75 15 +0
358.96 5 -6.25 11.25 -0.4391
358.96 2.5 -6.25 15 +0
344.85 8.75 3.75 16.25 -0.2453
355.86 6.25 -6.25 15 +0
359.82 3.75 -10 12.5 +0
359.82 2.5 3.75 15 -5.6614
352.57 6.25 -5 11.25 -2.3984
359.82 10 -7.5 15 +0.0027
359.82 -1.25 -3.75 16.25 -0.1802
352.16 0 -2.5 16.25 -0.3469
359.32 -1.25 0 16.25 -6.2103
358.85 0 5 8.75 +3.3249
358.96 -2.5 -3.75 15 -1.1709
358.96 5 -1.25 13.75 -0.6056
358.85 -5 2.5 12.5 -54.9731
358.96 7.5 2.5 13.75 -3.1993
358.96 5 2.5 12.5 +0.6158
359.32 5 -5 16.25 +0
355.86 7.5 -7.5 10 -1.6085
344.85 8.75 -7.5 12.5 -0.966
359.32 0 -5 13.75 -0.519
358.96 0 -7.5 15 +0
359.32 5 -1.25 13.75 -0.5898
358.85 8.75 2.5 15 -2.2225
358.85 -2.5 -2.5 8.75 +6.1483
344.85 2.5 -10 13.75 +0
359.82 -1.25 -1.25 12.5 -5.4265
359.09 10 -5 12.5 -1.0442
359.82 -5 -5 13.75 -0.7241
358.96 -1.25 -3.75 12.5 -1.5959
359.32 -2.5 -7.5 11.25 -0.7278
359.32 -3.75 -3.75 13.75 -2.0192
358.85 1.25 3.75 8.75 +20.9216
359.82 8.75 3.75 7.5 -31.1375
352.57 1.25 -7.5 11.25 +0.0054
359.82 7.5 -5 16.25 +0
358.85 3.75 -1.25 13.75 +0.4552
352.57 1.25 -5 12.5 -0.43
355.86 -3.75 -10 11.25 +0.2775
352.57 3.75 5 15 -5.2885
359.82 2.5 -2.5 15 +0.0246
359.32 8.75 -6.25 11.25 -1.2648
359.82 3.75 -3.75 12.5 +0.2514
344.85 2.5 -6.25 15 +0
358.85 2.5 -3.75 13.75 -0.0997
352.57 8.75 -6.25 13.75 -0.5961
358.85 -5 0 16.25 -11.1723
359.32 2.5 -7.5 8.75 -0.9807
352.57 -3.75 -3.75 13.75 -1.8054
359.82 2.5 -3.75 10 +1.9406
358.85 3.75 -5 12.5 +0.1985
359.32 2.5 2.5 12.5 -1.7781
359.32 -3.75 -8.75 16.25 +0
355.86 7.5 -7.5 11.25 -0.7638
352.57 -1.25 -7.5 10 -0.6433
355.86 -2.5 5 16.25 -32.3327
359.82 -5 3.75 10 -10.4159
358.85 -2.5 1.25 10 -8.0902
344.85 -1.25 -8.75 16.25 +0
358.85 7.5 -5 11.25 -2.0253
358.85 5 -6.25 16.25 +0
359.32 7.5 -3.75 16.25 +0
352.16 10 -8.75 12.5 +0.1138
358.85 -2.5 0 12.5 -13.9605
358.96 0 2.5 11.25 -8.633
358.85 1.25 -10 10 +0.1623
358.85 6.25 -6.25 16.25 +0
355.86 -3.75 2.5 13.75 -40.4204
359.32 0 -8.75 13.75 +0
359.32 5 -8.75 10 -0.5675
359.09 8.75 -5 16.25 +0
352.16 5 3.75 16.25 -0.4677
355.86 5 -10 10 -0.2876
358.85 -5 -5 16.25 -0.0468
355.86 2.5 2.5 12.5 -2.5415
359.09 6.25 5 16.25 -0.1388
355.86 3.75 0 13.75 +0.2583
358.85 2.5 3.75 10 +10.267
355.86 -2.5 2.5 15 -27.1084
358.85 7.5 -2.5 15 -0.725
355.86 6.25 -10 15 +0
358.85 5 -5 12.5 -0.0974
358.85 0 -7.5 6.25 +0.2411
358.85 -5 3.75 10 -27.5571
358.85 10 5 13.75 -3.4589
359.32 0 -6.25 13.75 -0.1966
358.85 6.25 -6.25 12.5 -0.2397
359.82 5 -8.75 6.25 -2.172
359.32 -5 2.5 7.5 +127.552
359.32 10 3.75 10 -16.1056
344.85 5 -10 6.25 -3.493
359.32 10 -3.75 12.5 -1.9056
359.32 10 -2.5 16.25 -0.3164
358.85 2.5 3.75 15 -5.9485
359.32 7.5 -10 11.25 -0.0064
352.57 -1.25 -5 16.25 +0
355.86 0 -2.5 16.25 -0.4166
359.32 10 -5 10 -3.4231
359.32 6.25 1.25 11.25 -0.8728
359.32 3.75 -7.5 12.5 +0.0037
359.82 0 -10 12.5 +0
358.85 -1.25 -3.75 15 -0.7077
352.57 5 -10 3.75 -3.6684
359.82 -5 -2.5 12.5 -2.5618
359.82 -3.75 -7.5 16.25 +0
355.86 1.25 2.5 13.75 -9.9123
359.82 -1.25 -1.25 11.25 -2.5662
359.32 2.5 -2.5 16.25 +0
355.86 7.5 0 15 -1.5673
