Iteration    50 Time 5.125419 Energy -2750.961300
Iteration   100 Time 8.685590 Energy -2899.909300
Iteration   150 Time 12.270202 Energy -2919.357500
Iteration   200 Time 15.832727 Energy -2936.652900
Iteration   250 Time 19.348593 Energy -2948.296000
Iteration   300 Time 22.977612 Energy -2955.261200
Iteration   350 Time 26.505476 Energy -2963.794200
Iteration   400 Time 30.058513 Energy -2972.735300
Iteration   450 Time 33.543290 Energy -2979.337000
Iteration   500 Time 37.024082 Energy -2987.329200
Iteration   550 Time 40.618410 Energy -2992.214800
Iteration   600 Time 44.220481 Energy -2996.990000
Iteration   650 Time 47.735521 Energy -3000.022700
Iteration   700 Time 51.343766 Energy -3003.322400
Iteration   750 Time 54.884215 Energy -3007.349400
Iteration   800 Time 58.517523 Energy -3009.849600
Iteration   850 Time 62.133343 Energy -3011.734700
Iteration   900 Time 65.738592 Energy -3013.849600
Iteration   950 Time 69.251358 Energy -3016.724800
Iteration  1000 Time 72.906549 Energy -3018.334300
Iteration  1050 Time 76.543993 Energy -3020.671000
Iteration  1100 Time 80.121075 Energy -3022.755600
Iteration  1150 Time 83.676100 Energy -3024.923100
Iteration  1200 Time 87.274682 Energy -3026.557700
Iteration  1250 Time 90.898319 Energy -3027.650500
Iteration  1300 Time 94.527754 Energy -3029.008500
Iteration  1350 Time 98.093278 Energy -3029.870300
Iteration  1400 Time 101.588181 Energy -3030.637900
Iteration  1450 Time 105.100198 Energy -3031.735800
Iteration  1500 Time 108.740943 Energy -3032.443700
Iteration  1550 Time 112.332399 Energy -3033.179500
Iteration  1600 Time 115.937887 Energy -3034.758000
Iteration  1650 Time 119.517722 Energy -3035.838100
Iteration  1700 Time 123.156300 Energy -3036.639500
Iteration  1750 Time 126.700413 Energy -3037.272400
Iteration  1800 Time 130.331544 Energy -3037.819500
Iteration  1850 Time 133.932652 Energy -3038.738300
Iteration  1900 Time 137.534245 Energy -3039.507900
Iteration  1950 Time 141.181361 Energy -3040.266500
Iteration  2000 Time 144.784082 Energy -3040.872900
