START	rep1_1nsn_01	on 2017 June 11 at 12:34:00
TIME	parts_179_to_179_interaction_energies	123.53
TIME	parts_172_to_172_interaction_energies	126.83
TIME	parts_158_to_158_interaction_energies	126.98
TIME	parts_173_to_173_interaction_energies	128.12
TIME	parts_182_to_182_interaction_energies	126.36
TIME	parts_188_to_188_interaction_energies	124.1
TIME	parts_189_to_189_interaction_energies	124.0
TIME	parts_174_to_174_interaction_energies	126.09
TIME	parts_176_to_176_interaction_energies	126.82
TIME	parts_177_to_177_interaction_energies	127.06
TIME	parts_180_to_180_interaction_energies	127.92
TIME	parts_165_to_165_interaction_energies	127.01
TIME	parts_187_to_187_interaction_energies	124.7
TIME	parts_186_to_186_interaction_energies	124.87
TIME	parts_181_to_181_interaction_energies	128.57
TIME	parts_178_to_178_interaction_energies	128.15
TIME	parts_175_to_175_interaction_energies	128.13
TIME	parts_192_to_192_interaction_energies	131.51
TIME	parts_29_to_29_interaction_energies	115.54
TIME	parts_30_to_30_interaction_energies	117.66
TIME	parts_26_to_26_interaction_energies	123.09
TIME	parts_27_to_27_interaction_energies	124.4
TIME	parts_31_to_31_interaction_energies	122.74
TIME	parts_28_to_28_interaction_energies	124.64
TIME	parts_34_to_34_interaction_energies	116.51
TIME	parts_32_to_32_interaction_energies	118.18
TIME	parts_70_to_70_interaction_energies	120.72
TIME	parts_35_to_35_interaction_energies	121.0
TIME	parts_72_to_72_interaction_energies	122.29
TIME	parts_73_to_73_interaction_energies	123.84
TIME	parts_71_to_71_interaction_energies	124.51
TIME	parts_33_to_33_interaction_energies	124.02
TIME	parts_74_to_74_interaction_energies	124.28
TIME	parts_79_to_79_interaction_energies	116.36
TIME	parts_78_to_78_interaction_energies	117.96
TIME	parts_76_to_76_interaction_energies	119.44
TIME	parts_81_to_81_interaction_energies	121.42
TIME	parts_80_to_80_interaction_energies	122.31
TIME	parts_82_to_82_interaction_energies	123.8
TIME	parts_75_to_75_interaction_energies	122.83
TIME	parts_77_to_77_interaction_energies	125.04
TIME	parts_83_to_83_interaction_energies	117.77
TIME	parts_84_to_84_interaction_energies	120.8
TIME	parts_87_to_87_interaction_energies	117.55
TIME	parts_89_to_89_interaction_energies	118.32
TIME	parts_90_to_90_interaction_energies	119.9
TIME	parts_85_to_85_interaction_energies	123.66
TIME	parts_86_to_86_interaction_energies	125.53
TIME	parts_88_to_88_interaction_energies	123.57
TIME	parts_112_to_112_interaction_energies	121.52
TIME	parts_122_to_122_interaction_energies	121.8
TIME	parts_120_to_120_interaction_energies	121.4
TIME	parts_114_to_114_interaction_energies	124.25
TIME	parts_115_to_115_interaction_energies	122.98
TIME	parts_116_to_116_interaction_energies	122.92
TIME	parts_113_to_113_interaction_energies	121.55
TIME	parts_118_to_118_interaction_energies	122.92
TIME	parts_117_to_117_interaction_energies	122.74
TIME	parts_123_to_123_interaction_energies	124.88
TIME	parts_121_to_121_interaction_energies	124.02
TIME	parts_119_to_119_interaction_energies	125.32
TIME	parts_124_to_124_interaction_energies	120.05
TIME	parts_193_to_193_interaction_energies	117.47
TIME	parts_132_to_132_interaction_energies	118.22
TIME	parts_125_to_125_interaction_energies	122.65
TIME	parts_126_to_126_interaction_energies	123.02
TIME	parts_194_to_194_interaction_energies	121.64
TIME	parts_198_to_198_interaction_energies	121.83
TIME	parts_130_to_130_interaction_energies	123.86
TIME	parts_196_to_196_interaction_energies	124.49
TIME	parts_197_to_197_interaction_energies	126.25
TIME	parts_199_to_199_interaction_energies	125.86
TIME	parts_195_to_195_interaction_energies	121.96
TIME	parts_131_to_131_interaction_energies	126.34
TIME	parts_127_to_127_interaction_energies	123.5
TIME	parts_128_to_128_interaction_energies	142.69
TIME	parts_201_to_201_interaction_energies	115.79
TIME	parts_203_to_203_interaction_energies	118.54
TIME	parts_205_to_205_interaction_energies	123.02
TIME	parts_202_to_202_interaction_energies	124.98
TIME	parts_200_to_200_interaction_energies	122.76
TIME	parts_204_to_204_interaction_energies	125.31
TIME	parts_206_to_206_interaction_energies	125.8
TIME	parts_207_to_207_interaction_energies	130.28
TIME	parts_129_to_129_interaction_energies	122.63
TIME	parts_208_to_208_interaction_energies	119.0
TIME	parts_209_to_209_interaction_energies	122.28
TIME	parts_212_to_212_interaction_energies	114.53
TIME	parts_211_to_211_interaction_energies	118.12
TIME	parts_210_to_210_interaction_energies	126.66
TIME	parts_213_to_213_interaction_energies	124.9
TIME	parts_215_to_215_interaction_energies	125.45
TIME	parts_216_to_216_interaction_energies	125.71
TIME	parts_224_to_224_interaction_energies	117.85
TIME	parts_214_to_214_interaction_energies	133.52
TIME	parts_219_to_219_interaction_energies	120.64
TIME	parts_220_to_220_interaction_energies	122.57
TIME	parts_223_to_223_interaction_energies	119.08
TIME	parts_218_to_218_interaction_energies	125.06
TIME	parts_226_to_226_interaction_energies	124.24
TIME	parts_217_to_217_interaction_energies	126.27
TIME	parts_221_to_221_interaction_energies	126.81
TIME	parts_222_to_222_interaction_energies	125.9
TIME	parts_225_to_225_interaction_energies	127.48
TIME	parts_227_to_227_interaction_energies	126.88
TIME	parts_239_to_239_interaction_energies	119.02
TIME	parts_233_to_233_interaction_energies	121.4
TIME	parts_238_to_238_interaction_energies	119.32
TIME	parts_237_to_237_interaction_energies	121.81
TIME	parts_229_to_229_interaction_energies	124.9
TIME	parts_230_to_230_interaction_energies	125.67
TIME	parts_240_to_240_interaction_energies	123.35
TIME	parts_236_to_236_interaction_energies	122.67
TIME	parts_235_to_235_interaction_energies	120.08
TIME	parts_231_to_231_interaction_energies	126.13
TIME	parts_232_to_232_interaction_energies	124.72
TIME	parts_228_to_228_interaction_energies	125.88
TIME	parts_246_to_246_interaction_energies	116.11
TIME	parts_249_to_249_interaction_energies	122.67
TIME	parts_234_to_234_interaction_energies	126.08
TIME	parts_243_to_243_interaction_energies	125.01
TIME	parts_247_to_247_interaction_energies	125.88
TIME	parts_248_to_248_interaction_energies	125.49
TIME	parts_245_to_245_interaction_energies	123.13
TIME	parts_244_to_244_interaction_energies	128.65
TIME	parts_250_to_250_interaction_energies	127.71
TIME	parts_268_to_268_interaction_energies	117.69
TIME	parts_266_to_266_interaction_energies	119.84
TIME	parts_260_to_260_interaction_energies	121.47
TIME	parts_253_to_253_interaction_energies	121.1
TIME	parts_241_to_241_interaction_energies	126.92
TIME	parts_261_to_261_interaction_energies	122.85
TIME	parts_242_to_242_interaction_energies	142.12
TIME	parts_263_to_263_interaction_energies	122.94
TIME	parts_262_to_262_interaction_energies	123.3
TIME	parts_256_to_256_interaction_energies	124.22
TIME	parts_259_to_259_interaction_energies	125.5
TIME	parts_254_to_254_interaction_energies	128.09
TIME	parts_252_to_252_interaction_energies	126.7
TIME	parts_255_to_255_interaction_energies	126.52
TIME	parts_267_to_267_interaction_energies	125.62
TIME	parts_272_to_272_interaction_energies	122.72
TIME	parts_275_to_275_interaction_energies	124.95
TIME	parts_265_to_265_interaction_energies	126.49
TIME	parts_257_to_257_interaction_energies	120.63
TIME	parts_264_to_264_interaction_energies	123.81
TIME	parts_251_to_251_interaction_energies	126.71
TIME	parts_270_to_270_interaction_energies	128.43
TIME	parts_269_to_269_interaction_energies	129.07
TIME	parts_277_to_277_interaction_energies	127.82
TIME	parts_274_to_274_interaction_energies	129.77
TIME	parts_273_to_273_interaction_energies	129.3
TIME	parts_258_to_258_interaction_energies	135.6
TIME	parts_276_to_276_interaction_energies	130.72
TIME	parts_271_to_271_interaction_energies	135.22
TIME	parts_279_to_279_interaction_energies	125.59
TIME	parts_280_to_280_interaction_energies	118.57
TIME	parts_281_to_281_interaction_energies	125.22
TIME	parts_283_to_283_interaction_energies	119.76
TIME	parts_282_to_282_interaction_energies	123.08
TIME	parts_278_to_278_interaction_energies	123.16
TIME	parts_284_to_284_interaction_energies	127.39
TIME	parts_285_to_285_interaction_energies	129.72
TIME	parts_286_to_286_interaction_energies	126.33
TIME	parts_290_to_290_interaction_energies	117.92
TIME	parts_291_to_291_interaction_energies	124.19
TIME	parts_294_to_294_interaction_energies	123.56
TIME	parts_289_to_289_interaction_energies	125.17
TIME	parts_295_to_295_interaction_energies	125.46
TIME	parts_301_to_301_interaction_energies	123.13
TIME	parts_307_to_307_interaction_energies	123.96
TIME	parts_288_to_288_interaction_energies	126.43
TIME	parts_292_to_292_interaction_energies	127.0
TIME	parts_309_to_309_interaction_energies	126.53
TIME	parts_299_to_299_interaction_energies	128.04
TIME	parts_296_to_296_interaction_energies	126.55
TIME	parts_293_to_293_interaction_energies	127.99
TIME	parts_304_to_304_interaction_energies	125.22
TIME	parts_323_to_323_interaction_energies	115.73
TIME	parts_297_to_297_interaction_energies	128.24
TIME	parts_300_to_300_interaction_energies	133.93
TIME	parts_311_to_311_interaction_energies	129.01
TIME	parts_303_to_303_interaction_energies	130.3
TIME	parts_287_to_287_interaction_energies	131.16
TIME	parts_306_to_306_interaction_energies	128.01
TIME	parts_325_to_325_interaction_energies	121.26
TIME	parts_322_to_322_interaction_energies	122.3
TIME	parts_298_to_298_interaction_energies	127.38
TIME	parts_318_to_318_interaction_energies	123.38
TIME	parts_315_to_315_interaction_energies	122.83
TIME	parts_305_to_305_interaction_energies	133.4
TIME	parts_319_to_319_interaction_energies	124.47
TIME	parts_320_to_320_interaction_energies	124.73
TIME	parts_326_to_326_interaction_energies	124.95
TIME	parts_314_to_314_interaction_energies	125.1
TIME	parts_313_to_313_interaction_energies	126.61
TIME	parts_317_to_317_interaction_energies	125.13
TIME	parts_321_to_321_interaction_energies	127.07
TIME	parts_327_to_327_interaction_energies	126.32
TIME	parts_324_to_324_interaction_energies	126.8
TIME	parts_308_to_308_interaction_energies	129.45
TIME	parts_316_to_316_interaction_energies	127.98
TIME	parts_312_to_312_interaction_energies	121.48
TIME	parts_310_to_310_interaction_energies	126.47
TIME	parts_335_to_335_interaction_energies	120.38
TIME	parts_330_to_330_interaction_energies	122.63
TIME	parts_338_to_338_interaction_energies	126.23
TIME	parts_337_to_337_interaction_energies	126.3
TIME	parts_332_to_332_interaction_energies	126.6
TIME	parts_336_to_336_interaction_energies	126.39
TIME	parts_329_to_329_interaction_energies	128.74
TIME	parts_328_to_328_interaction_energies	129.58
TIME	parts_333_to_333_interaction_energies	128.18
TIME	parts_334_to_334_interaction_energies	119.08
TIME	parts_349_to_349_interaction_energies	122.87
TIME	parts_339_to_339_interaction_energies	124.06
TIME	parts_344_to_344_interaction_energies	124.16
TIME	parts_343_to_343_interaction_energies	124.27
TIME	parts_341_to_341_interaction_energies	123.39
TIME	parts_342_to_342_interaction_energies	124.92
TIME	parts_350_to_350_interaction_energies	124.38
TIME	parts_302_to_302_interaction_energies	137.22
TIME	parts_331_to_331_interaction_energies	130.16
TIME	parts_347_to_347_interaction_energies	129.38
TIME	parts_340_to_340_interaction_energies	128.56
TIME	parts_351_to_351_interaction_energies	128.89
TIME	parts_348_to_348_interaction_energies	126.32
TIME	parts_368_to_368_interaction_energies	120.19
TIME	parts_370_to_370_interaction_energies	119.8
TIME	parts_345_to_345_interaction_energies	129.92
TIME	parts_357_to_357_interaction_energies	124.95
TIME	parts_346_to_346_interaction_energies	137.39
TIME	parts_367_to_367_interaction_energies	125.27
TIME	parts_355_to_355_interaction_energies	129.0
TIME	parts_358_to_358_interaction_energies	127.76
TIME	parts_361_to_361_interaction_energies	129.6
TIME	parts_353_to_353_interaction_energies	129.86
TIME	parts_354_to_354_interaction_energies	132.61
TIME	parts_362_to_362_interaction_energies	129.39
TIME	parts_360_to_360_interaction_energies	130.75
TIME	parts_375_to_375_interaction_energies	116.01
TIME	parts_374_to_374_interaction_energies	115.59
TIME	parts_363_to_363_interaction_energies	130.7
TIME	parts_376_to_376_interaction_energies	116.68
TIME	parts_377_to_377_interaction_energies	117.4
TIME	parts_369_to_369_interaction_energies	125.38
TIME	parts_378_to_378_interaction_energies	120.17
TIME	parts_359_to_359_interaction_energies	128.66
TIME	parts_373_to_373_interaction_energies	120.17
TIME	parts_365_to_365_interaction_energies	131.07
TIME	parts_366_to_366_interaction_energies	138.84
TIME	parts_356_to_356_interaction_energies	129.81
TIME	parts_372_to_372_interaction_energies	124.96
TIME	parts_364_to_364_interaction_energies	141.14
TIME	parts_352_to_352_interaction_energies	130.46
TIME	parts_380_to_380_interaction_energies	114.84
TIME	parts_379_to_379_interaction_energies	120.17
TIME	parts_371_to_371_interaction_energies	121.96
TIME	parts_382_to_382_interaction_energies	119.13
TIME	parts_381_to_381_interaction_energies	120.47
TIME	parts_384_to_384_interaction_energies	118.88
TIME	parts_383_to_383_interaction_energies	119.72
TIME	parts_385_to_385_interaction_energies	119.48
TIME	parts_387_to_387_interaction_energies	120.92
TIME	parts_389_to_389_interaction_energies	118.86
TIME	parts_407_to_407_interaction_energies	115.2
TIME	parts_396_to_396_interaction_energies	117.42
TIME	parts_395_to_395_interaction_energies	118.94
