359.09,7.5,5,12.5
359.82,7.5,-8.75,13.75
358.96,1.25,5,12.5
358.96,0,-7.5,10
359.32,6.25,3.75,13.75
359.82,-1.25,2.5,11.25
344.85,8.75,-7.5,13.75
355.86,1.25,-10,11.25
359.82,5,-7.5,6.25
358.85,0,-6.25,11.25
358.85,1.25,-7.5,8.75
358.96,5,-3.75,12.5
359.32,7.5,-8.75,11.25
358.85,2.5,-10,16.25
359.82,2.5,-1.25,10
344.85,6.25,-10,15
344.85,0,-7.5,16.25
358.96,0,-2.5,10
359.09,1.25,-5,15
352.16,0,2.5,13.75
352.57,1.25,-7.5,15
359.09,6.25,-10,16.25
355.86,5,-2.5,16.25
352.57,-3.75,-2.5,15
358.85,3.75,-3.75,15
359.82,-1.25,-5,12.5
355.86,-2.5,-7.5,6.25
352.57,-2.5,-10,13.75
359.82,-5,1.25,16.25
359.82,10,0,12.5
359.09,8.75,-7.5,16.25
355.86,3.75,0,15
352.57,7.5,-3.75,8.75
358.96,-5,-5,13.75
352.57,6.25,-6.25,16.25
358.85,-5,1.25,8.75
352.16,3.75,-5,11.25
355.86,0,-1.25,13.75
359.09,2.5,-5,16.25
358.85,2.5,-2.5,12.5
359.09,6.25,-7.5,13.75
344.85,6.25,-8.75,7.5
344.85,0,5,16.25
358.96,-3.75,-1.25,13.75
358.96,5,-7.5,11.25
352.57,-5,1.25,16.25
355.86,8.75,-1.25,13.75
358.85,-5,0,6.25
355.86,6.25,-3.75,13.75
344.85,6.25,-5,16.25
358.85,10,0,16.25
358.96,2.5,-5,15
359.82,8.75,-3.75,15
358.85,-2.5,1.25,7.5
344.85,3.75,5,16.25
358.85,6.25,-10,11.25
359.32,5,-10,12.5
359.82,-2.5,-5,10
359.82,3.75,-10,8.75
358.96,2.5,-2.5,16.25
352.16,-1.25,-8.75,10
344.85,10,-6.25,13.75
359.32,2.5,-6.25,7.5
359.09,5,2.5,16.25
352.57,-2.5,-6.25,15
359.82,10,1.25,13.75
359.32,3.75,-1.25,10
352.57,8.75,-2.5,15
344.85,6.25,-7.5,7.5
352.57,0,-2.5,11.25
358.85,1.25,-10,16.25
358.96,3.75,-6.25,16.25
358.85,2.5,-7.5,6.25
359.32,-2.5,-5,6.25
358.96,1.25,-10,16.25
355.86,1.25,-10,15
359.82,-2.5,0,11.25
358.96,6.25,-10,15
359.09,3.75,-1.25,16.25
359.32,1.25,-3.75,13.75
359.82,7.5,3.75,8.75
352.57,3.75,1.25,16.25
358.96,5,3.75,13.75
358.96,1.25,-5,11.25
358.96,5,-5,15
359.82,0,0,15
