START	rep1_3ffd_01	on 2017 June 13 at 03:02:31
TIME	parts_85_to_85_interaction_energies	64.76
TIME	parts_93_to_93_interaction_energies	61.65
TIME	parts_94_to_94_interaction_energies	64.28
TIME	parts_92_to_92_interaction_energies	67.6
TIME	parts_95_to_95_interaction_energies	61.29
TIME	parts_96_to_96_interaction_energies	70.41
TIME	parts_100_to_100_interaction_energies	62.1
TIME	parts_98_to_98_interaction_energies	63.58
TIME	parts_99_to_99_interaction_energies	65.24
TIME	parts_102_to_102_interaction_energies	64.26
TIME	parts_97_to_97_interaction_energies	65.32
TIME	parts_101_to_101_interaction_energies	61.33
TIME	parts_106_to_106_interaction_energies	61.43
TIME	parts_105_to_105_interaction_energies	63.22
TIME	parts_107_to_107_interaction_energies	63.5
TIME	parts_104_to_104_interaction_energies	68.03
TIME	parts_103_to_103_interaction_energies	72.43
TIME	parts_112_to_112_interaction_energies	55.25
TIME	parts_113_to_113_interaction_energies	62.4
TIME	parts_111_to_111_interaction_energies	63.88
TIME	parts_110_to_110_interaction_energies	63.87
TIME	parts_109_to_109_interaction_energies	64.45
TIME	parts_114_to_114_interaction_energies	66.92
TIME	parts_108_to_108_interaction_energies	65.06
TIME	parts_117_to_117_interaction_energies	62.19
TIME	parts_119_to_119_interaction_energies	62.76
TIME	parts_116_to_116_interaction_energies	64.4
TIME	parts_118_to_118_interaction_energies	65.07
TIME	parts_122_to_122_interaction_energies	66.45
TIME	parts_121_to_121_interaction_energies	61.81
TIME	parts_115_to_115_interaction_energies	67.94
TIME	parts_120_to_120_interaction_energies	66.38
TIME	parts_124_to_124_interaction_energies	60.14
TIME	parts_125_to_125_interaction_energies	61.33
TIME	parts_123_to_123_interaction_energies	63.93
TIME	parts_126_to_126_interaction_energies	67.71
TIME	parts_127_to_127_interaction_energies	64.32
TIME	parts_128_to_128_interaction_energies	69.73
TIME	parts_135_to_135_interaction_energies	58.99
TIME	parts_129_to_129_interaction_energies	61.89
TIME	parts_131_to_131_interaction_energies	63.72
TIME	parts_132_to_132_interaction_energies	64.07
TIME	parts_134_to_134_interaction_energies	63.21
TIME	parts_136_to_136_interaction_energies	65.13
TIME	parts_137_to_137_interaction_energies	68.7
TIME	parts_133_to_133_interaction_energies	65.67
