2or9 -184.7682 -186.4518 -1.6836
1egj -372.6861 -402.6653 -29.9792
2g5b 9999999877.07 822.3491 -9999999054.72
1mvu -305.5523 -312.2132 -6.6609
1e4w -11.4875 -5.4385 6.049
1f90 -302.9632 -346.0963 -43.1331
1dzb -439.996 -477.4712 -37.4752
3bae -285.2686 -287.7669 -2.4983
3e8u -286.0831 -298.5919 -12.5088
3qg6 -229.2287 -230.8072 -1.5785
1i8i -390.5257 -324.4833 66.0424
1fpt -357.7666 -409.1983 -51.4317
2ck0 -156.2657 -179.3751 -23.1094
1obe -219.6437 -227.5914 -7.9477
1nak -219.102 -294.0754 -74.9734
1ors -367.3995 -465.7013 -98.3018
3ab0 -204.3088 -220.2873 -15.9785
3nh7 2127.1731 -135.2999 -2262.473
1jrh -251.016 -271.2642 -20.2482
