START	rep1_3bky_01	on 2017 June 11 at 10:19:23
TIME	parts_511_to_511_interaction_energies	226.8
TIME	parts_796_to_796_interaction_energies	211.81
TIME	parts_795_to_795_interaction_energies	217.71
TIME	parts_794_to_794_interaction_energies	215.04
TIME	parts_919_to_919_interaction_energies	205.05
TIME	parts_793_to_793_interaction_energies	215.5
TIME	parts_8_to_8_interaction_energies	100.44
TIME	parts_5_to_5_interaction_energies	104.27
TIME	parts_917_to_917_interaction_energies	211.43
TIME	parts_918_to_918_interaction_energies	212.0
TIME	parts_7_to_7_interaction_energies	105.57
TIME	parts_6_to_6_interaction_energies	107.88
TIME	parts_70_to_70_interaction_energies	105.04
TIME	parts_179_to_179_interaction_energies	99.58
TIME	parts_178_to_178_interaction_energies	108.96
TIME	parts_296_to_296_interaction_energies	110.6
TIME	parts_295_to_295_interaction_energies	115.58
TIME	parts_399_to_399_interaction_energies	103.31
TIME	parts_615_to_615_interaction_energies	103.27
TIME	parts_687_to_687_interaction_energies	99.54
TIME	parts_513_to_513_interaction_energies	210.02
TIME	parts_512_to_512_interaction_energies	226.48
TIME	parts_797_to_797_interaction_energies	213.71
TIME	parts_921_to_921_interaction_energies	211.69
TIME	parts_922_to_922_interaction_energies	212.74
TIME	parts_920_to_920_interaction_energies	211.9
TIME	parts_2_to_2_interaction_energies	96.08
TIME	parts_3_to_3_interaction_energies	105.44
TIME	parts_4_to_4_interaction_energies	103.26
TIME	parts_9_to_9_interaction_energies	106.4
TIME	parts_11_to_11_interaction_energies	102.17
TIME	parts_10_to_10_interaction_energies	106.28
TIME	parts_14_to_14_interaction_energies	104.81
TIME	parts_15_to_15_interaction_energies	106.89
TIME	parts_18_to_18_interaction_energies	103.94
TIME	parts_19_to_19_interaction_energies	104.78
TIME	parts_20_to_20_interaction_energies	106.09
TIME	parts_21_to_21_interaction_energies	104.03
TIME	parts_22_to_22_interaction_energies	105.11
TIME	parts_12_to_12_interaction_energies	105.23
TIME	parts_13_to_13_interaction_energies	101.04
TIME	parts_16_to_16_interaction_energies	101.55
TIME	parts_17_to_17_interaction_energies	109.25
TIME	parts_23_to_23_interaction_energies	102.21
TIME	parts_24_to_24_interaction_energies	100.16
TIME	parts_25_to_25_interaction_energies	104.68
TIME	parts_27_to_27_interaction_energies	106.44
TIME	parts_26_to_26_interaction_energies	105.95
TIME	parts_29_to_29_interaction_energies	102.71
TIME	parts_28_to_28_interaction_energies	106.52
TIME	parts_30_to_30_interaction_energies	107.18
TIME	parts_33_to_33_interaction_energies	103.25
TIME	parts_32_to_32_interaction_energies	103.47
TIME	parts_31_to_31_interaction_energies	105.44
TIME	parts_38_to_38_interaction_energies	99.59
