zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
160.0,5.0,-1.25,16.75,1,-92.6487,34,5,270,27,5,23,,,
160.0,5.0,-1.25,16.75,2,-92.6002,35,5,270,27,5,23,,,
160.0,5.0,-1.25,16.75,3,-88.8604,83,5,270,27,5,23,,,
160.0,5.0,-1.25,16.75,4,-87.792,33,5,270,27,5,23,,,
160.0,5.0,-1.25,16.75,5,-83.9639,34,5,85,27,5,23,,,
