zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
140.0,-5.0,-6.25,15.5,1,502.8966,44,5,89,38,5,6,,,
140.0,-5.0,-6.25,15.5,2,503.1064,44,5,89,38,5,113,,,
140.0,-5.0,-6.25,15.5,3,505.8586,43,5,89,38,5,6,,,
140.0,-5.0,-6.25,15.5,4,506.0684,43,5,89,38,5,113,,,
140.0,-5.0,-6.25,15.5,5,509.9843,44,5,89,38,5,15,,,
