zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
180.0,7.5,-8.75,15.5,1,400684.5564,137,5,35,7,1,115,,,
180.0,7.5,-8.75,15.5,2,400689.067,137,5,35,7,1,116,,,
180.0,7.5,-8.75,15.5,3,400689.0939,137,5,35,7,1,6,,,
180.0,7.5,-8.75,15.5,4,400690.7361,137,5,35,7,1,186,,,
180.0,7.5,-8.75,15.5,5,400691.6482,137,5,35,7,1,11,,,
