zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
80.0,5.0,1.25,16.75,1,177666.3091,8,5,85,,,,14,5,16
80.0,5.0,1.25,16.75,2,177666.6694,8,5,85,,,,14,5,33
80.0,5.0,1.25,16.75,3,177666.6912,8,5,85,,,,14,5,15
80.0,5.0,1.25,16.75,4,177671.3159,8,5,204,,,,14,5,16
80.0,5.0,1.25,16.75,5,177672.4305,8,5,115,,,,14,5,16
