START	bench_3qg6	on 2017 May 12 at 23:38:34
TIME	interaction_energies_for_MAPs_part_KCDR3_164	82.68
TIME	interaction_energies_for_MAPs_part_KCDR3_161	80.44
TIME	interaction_energies_for_MAPs_part_KCDR3_163	87.16
TIME	interaction_energies_for_MAPs_part_KCDR3_160	81.97
TIME	interaction_energies_for_MAPs_part_KCDR3_156	78.84
TIME	interaction_energies_for_MAPs_part_KCDR3_157	81.86
TIME	interaction_energies_for_MAPs_part_KCDR3_159	82.36
TIME	interaction_energies_for_MAPs_part_KCDR3_154	81.44
TIME	interaction_energies_for_MAPs_part_KCDR3_155	81.34
TIME	interaction_energies_for_MAPs_part_KCDR3_15	81.28
TIME	interaction_energies_for_MAPs_part_KCDR3_153	87.01
TIME	interaction_energies_for_MAPs_part_KCDR3_14	80.58
TIME	interaction_energies_for_MAPs_part_KCDR3_162	82.08
TIME	interaction_energies_for_MAPs_part_KCDR3_151	81.86
TIME	interaction_energies_for_MAPs_part_KCDR3_150	81.22
TIME	interaction_energies_for_MAPs_part_KCDR3_152	79.11
TIME	interaction_energies_for_MAPs_part_KCDR3_148	80.96
TIME	interaction_energies_for_MAPs_part_KCDR3_149	81.57
TIME	interaction_energies_for_MAPs_part_KCDR3_147	81.77
TIME	interaction_energies_for_MAPs_part_KCDR3_144	79.8
TIME	interaction_energies_for_MAPs_part_KCDR3_146	80.62
TIME	interaction_energies_for_MAPs_part_KCDR3_143	80.64
TIME	interaction_energies_for_MAPs_part_KCDR3_145	80.01
TIME	interaction_energies_for_MAPs_part_KCDR3_141	81.12
TIME	interaction_energies_for_MAPs_part_KCDR3_142	88.27
TIME	interaction_energies_for_MAPs_part_KCDR3_140	81.99
TIME	interaction_energies_for_MAPs_part_KCDR3_158	84.0
TIME	interaction_energies_for_MAPs_part_KCDR3_13	78.83
TIME	interaction_energies_for_MAPs_part_KCDR3_139	80.86
TIME	interaction_energies_for_MAPs_part_KCDR3_136	79.87
TIME	interaction_energies_for_MAPs_part_KCDR3_137	82.52
TIME	interaction_energies_for_MAPs_part_KCDR3_134	79.42
TIME	interaction_energies_for_MAPs_part_KCDR3_130	79.78
TIME	interaction_energies_for_MAPs_part_KCDR3_128	81.69
TIME	interaction_energies_for_MAPs_part_KCDR3_129	79.24
TIME	interaction_energies_for_MAPs_part_KCDR3_135	81.44
TIME	interaction_energies_for_MAPs_part_KCDR3_12	80.38
TIME	interaction_energies_for_MAPs_part_KCDR3_132	87.74
TIME	interaction_energies_for_MAPs_part_KCDR3_138	80.94
TIME	interaction_energies_for_MAPs_part_KCDR3_126	80.61
TIME	interaction_energies_for_MAPs_part_KCDR3_131	86.82
TIME	interaction_energies_for_MAPs_part_KCDR3_124	79.61
TIME	interaction_energies_for_MAPs_part_KCDR3_122	79.12
TIME	interaction_energies_for_MAPs_part_KCDR3_125	81.77
TIME	interaction_energies_for_MAPs_part_KCDR3_123	80.54
TIME	interaction_energies_for_MAPs_part_KCDR3_120	81.38
TIME	interaction_energies_for_MAPs_part_KCDR3_11	81.22
TIME	interaction_energies_for_MAPs_part_KCDR3_119	81.38
TIME	interaction_energies_for_MAPs_part_KCDR3_117	83.15
TIME	interaction_energies_for_MAPs_part_KCDR3_118	81.3
TIME	interaction_energies_for_MAPs_part_KCDR3_133	82.11
TIME	interaction_energies_for_MAPs_part_KCDR3_121	81.54
TIME	interaction_energies_for_MAPs_part_KCDR3_114	81.88
TIME	interaction_energies_for_MAPs_part_KCDR3_115	84.42
TIME	interaction_energies_for_MAPs_part_KCDR3_116	90.46
TIME	interaction_energies_for_MAPs_part_KCDR3_113	80.42
TIME	interaction_energies_for_MAPs_part_KCDR3_111	80.78
TIME	interaction_energies_for_MAPs_part_KCDR3_10	80.74
TIME	interaction_energies_for_MAPs_part_KCDR3_127	82.26
TIME	interaction_energies_for_MAPs_part_KCDR3_109	81.49
TIME	interaction_energies_for_MAPs_part_KCDR3_107	79.16
TIME	interaction_energies_for_MAPs_part_KCDR3_106	79.65
TIME	interaction_energies_for_MAPs_part_KCDR3_104	80.29
TIME	interaction_energies_for_MAPs_part_KCDR3_103	80.84
TIME	interaction_energies_for_MAPs_part_KCDR3_105	81.56
TIME	interaction_energies_for_MAPs_part_KCDR3_108	82.04
TIME	interaction_energies_for_MAPs_part_KCDR3_101	82.03
TIME	interaction_energies_for_MAPs_part_KCDR3_9	84.86
TIME	interaction_energies_for_MAPs_part_KCDR3_102	87.16
TIME	interaction_energies_for_MAPs_part_KCDR3_98	79.02
TIME	interaction_energies_for_MAPs_part_KCDR3_96	79.79
TIME	interaction_energies_for_MAPs_part_KCDR3_99	83.42
TIME	interaction_energies_for_MAPs_part_KCDR3_95	81.27
TIME	interaction_energies_for_MAPs_part_KCDR3_97	80.03
TIME	interaction_energies_for_MAPs_part_KCDR3_93	80.62
TIME	interaction_energies_for_MAPs_part_KCDR3_94	80.96
TIME	interaction_energies_for_MAPs_part_KCDR3_92	82.55
TIME	interaction_energies_for_MAPs_part_KCDR3_100	81.01
TIME	interaction_energies_for_MAPs_part_KCDR3_91	80.04
TIME	interaction_energies_for_MAPs_part_KCDR3_89	80.09
TIME	interaction_energies_for_MAPs_part_KCDR3_110	81.32
TIME	interaction_energies_for_MAPs_part_KCDR3_87	82.2
TIME	interaction_energies_for_MAPs_part_KCDR3_88	91.19
TIME	interaction_energies_for_MAPs_part_KCDR3_84	79.09
TIME	interaction_energies_for_MAPs_part_KCDR3_85	81.45
TIME	interaction_energies_for_MAPs_part_KCDR3_8	79.96
TIME	interaction_energies_for_MAPs_part_KCDR3_82	79.6
TIME	interaction_energies_for_MAPs_part_KCDR3_81	79.95
TIME	interaction_energies_for_MAPs_part_KCDR3_80	80.61
TIME	interaction_energies_for_MAPs_part_KCDR3_78	80.48
TIME	interaction_energies_for_MAPs_part_KCDR3_7	80.22
TIME	interaction_energies_for_MAPs_part_KCDR3_79	81.93
TIME	interaction_energies_for_MAPs_part_KCDR3_76	82.18
TIME	interaction_energies_for_MAPs_part_KCDR3_75	82.24
