START	rep1_2qhr_01	on 2017 June 09 at 21:35:35
TIME	parts_157_to_157_interaction_energies	58.09
TIME	parts_125_to_125_interaction_energies	62.39
TIME	parts_237_to_237_interaction_energies	62.72
TIME	parts_177_to_177_interaction_energies	62.63
TIME	parts_122_to_122_interaction_energies	63.27
TIME	parts_176_to_176_interaction_energies	62.98
TIME	parts_320_to_320_interaction_energies	67.02
TIME	parts_321_to_321_interaction_energies	69.55
TIME	parts_201_to_201_interaction_energies	56.82
TIME	parts_86_to_86_interaction_energies	63.13
TIME	parts_101_to_101_interaction_energies	56.0
TIME	parts_102_to_102_interaction_energies	63.87
TIME	parts_337_to_337_interaction_energies	66.76
TIME	parts_338_to_338_interaction_energies	68.69
TIME	parts_347_to_347_interaction_energies	67.45
TIME	parts_10_to_10_interaction_energies	60.13
TIME	parts_111_to_111_interaction_energies	61.26
TIME	parts_36_to_36_interaction_energies	59.75
TIME	parts_227_to_227_interaction_energies	66.42
TIME	parts_375_to_375_interaction_energies	58.96
TIME	parts_376_to_376_interaction_energies	58.73
TIME	parts_258_to_258_interaction_energies	63.38
TIME	parts_57_to_57_interaction_energies	55.34
TIME	parts_158_to_158_interaction_energies	65.29
TIME	parts_159_to_159_interaction_energies	66.52
TIME	parts_170_to_170_interaction_energies	61.49
TIME	parts_318_to_318_interaction_energies	61.88
TIME	parts_1_to_1_interaction_energies	52.85
TIME	parts_330_to_330_interaction_energies	63.55
TIME	parts_331_to_331_interaction_energies	63.81
TIME	parts_343_to_343_interaction_energies	67.41
TIME	parts_11_to_11_interaction_energies	60.52
TIME	parts_14_to_14_interaction_energies	65.87
TIME	parts_215_to_215_interaction_energies	63.52
TIME	parts_228_to_228_interaction_energies	64.25
TIME	parts_284_to_284_interaction_energies	64.53
TIME	parts_48_to_48_interaction_energies	59.73
TIME	parts_155_to_155_interaction_energies	61.6
TIME	parts_154_to_154_interaction_energies	61.93
TIME	parts_171_to_171_interaction_energies	62.45
TIME	parts_164_to_164_interaction_energies	63.29
TIME	parts_178_to_178_interaction_energies	63.01
TIME	parts_243_to_243_interaction_energies	62.88
TIME	parts_2_to_2_interaction_energies	56.07
TIME	parts_88_to_88_interaction_energies	61.52
TIME	parts_87_to_87_interaction_energies	61.19
TIME	parts_203_to_203_interaction_energies	62.91
TIME	parts_202_to_202_interaction_energies	63.53
TIME	parts_211_to_211_interaction_energies	61.36
TIME	parts_328_to_328_interaction_energies	67.07
TIME	parts_349_to_349_interaction_energies	68.45
TIME	parts_112_to_112_interaction_energies	54.46
TIME	parts_348_to_348_interaction_energies	69.41
TIME	parts_216_to_216_interaction_energies	63.86
TIME	parts_287_to_287_interaction_energies	62.97
TIME	parts_286_to_286_interaction_energies	63.67
TIME	parts_58_to_58_interaction_energies	60.93
TIME	parts_165_to_165_interaction_energies	60.9
TIME	parts_172_to_172_interaction_energies	62.67
TIME	parts_239_to_239_interaction_energies	62.86
TIME	parts_240_to_240_interaction_energies	63.65
TIME	parts_311_to_311_interaction_energies	66.77
TIME	parts_90_to_90_interaction_energies	57.17
TIME	parts_206_to_206_interaction_energies	63.13
TIME	parts_268_to_268_interaction_energies	57.1
TIME	parts_35_to_35_interaction_energies	1134.04
TIME	parts_323_to_323_interaction_energies	56.35
TIME	parts_324_to_324_interaction_energies	65.17
TIME	parts_15_to_15_interaction_energies	61.77
TIME	parts_230_to_230_interaction_energies	64.75
TIME	parts_231_to_231_interaction_energies	66.23
TIME	parts_285_to_285_interaction_energies	65.21
TIME	parts_380_to_380_interaction_energies	57.75
TIME	parts_139_to_139_interaction_energies	62.02
TIME	parts_288_to_288_interaction_energies	66.05
TIME	parts_59_to_59_interaction_energies	60.68
TIME	parts_63_to_63_interaction_energies	61.94
TIME	parts_173_to_173_interaction_energies	62.59
TIME	parts_401_to_401_interaction_energies	59.39
TIME	parts_78_to_78_interaction_energies	62.51
TIME	parts_313_to_313_interaction_energies	65.83
TIME	parts_91_to_91_interaction_energies	63.75
TIME	parts_209_to_209_interaction_energies	63.46
TIME	parts_418_to_418_interaction_energies	55.57
TIME	parts_269_to_269_interaction_energies	65.36
TIME	parts_334_to_334_interaction_energies	55.39
TIME	parts_114_to_114_interaction_energies	62.75
TIME	parts_218_to_218_interaction_energies	63.82
TIME	parts_217_to_217_interaction_energies	64.79
TIME	parts_232_to_232_interaction_energies	70.32
TIME	parts_140_to_140_interaction_energies	63.76
TIME	parts_292_to_292_interaction_energies	66.07
TIME	parts_291_to_291_interaction_energies	68.13
TIME	parts_383_to_383_interaction_energies	58.15
TIME	parts_64_to_64_interaction_energies	60.86
TIME	parts_169_to_169_interaction_energies	62.72
TIME	parts_190_to_190_interaction_energies	1149.14
TIME	parts_179_to_179_interaction_energies	57.12
TIME	parts_180_to_180_interaction_energies	68.76
TIME	parts_123_to_123_interaction_energies	61.75
TIME	parts_262_to_262_interaction_energies	64.63
TIME	parts_405_to_405_interaction_energies	59.92
TIME	parts_404_to_404_interaction_energies	60.24
TIME	parts_79_to_79_interaction_energies	56.14
TIME	parts_191_to_191_interaction_energies	60.81
TIME	parts_93_to_93_interaction_energies	57.79
TIME	parts_92_to_92_interaction_energies	60.64
TIME	parts_192_to_192_interaction_energies	61.63
TIME	parts_214_to_214_interaction_energies	65.88
TIME	parts_271_to_271_interaction_energies	64.36
TIME	parts_272_to_272_interaction_energies	65.02
TIME	parts_25_to_25_interaction_energies	60.48
TIME	parts_116_to_116_interaction_energies	61.2
TIME	parts_115_to_115_interaction_energies	60.97
TIME	parts_219_to_219_interaction_energies	62.93
TIME	parts_344_to_344_interaction_energies	66.71
TIME	parts_246_to_246_interaction_energies	59.47
TIME	parts_356_to_356_interaction_energies	71.03
TIME	parts_142_to_142_interaction_energies	64.4
TIME	parts_294_to_294_interaction_energies	64.05
TIME	parts_124_to_124_interaction_energies	54.88
TIME	parts_229_to_229_interaction_energies	1282.21
TIME	parts_296_to_296_interaction_energies	64.81
TIME	parts_393_to_393_interaction_energies	59.31
TIME	parts_181_to_181_interaction_energies	65.86
TIME	parts_263_to_263_interaction_energies	65.7
TIME	parts_400_to_400_interaction_energies	61.21
TIME	parts_80_to_80_interaction_energies	60.59
TIME	parts_315_to_315_interaction_energies	63.07
TIME	parts_316_to_316_interaction_energies	70.08
TIME	parts_432_to_432_interaction_energies	58.21
TIME	parts_193_to_193_interaction_energies	62.62
TIME	parts_194_to_194_interaction_energies	63.59
TIME	parts_422_to_422_interaction_energies	61.34
TIME	parts_104_to_104_interaction_energies	63.39
TIME	parts_26_to_26_interaction_energies	60.02
TIME	parts_129_to_129_interaction_energies	60.48
TIME	parts_130_to_130_interaction_energies	62.36
TIME	parts_221_to_221_interaction_energies	65.56
TIME	parts_345_to_345_interaction_energies	67.87
TIME	parts_247_to_247_interaction_energies	65.01
TIME	parts_357_to_357_interaction_energies	57.3
TIME	parts_145_to_145_interaction_energies	62.68
TIME	parts_146_to_146_interaction_energies	56.0
TIME	parts_463_to_463_interaction_energies	138.12
TIME	parts_297_to_297_interaction_energies	72.44
TIME	parts_183_to_183_interaction_energies	61.12
TIME	parts_303_to_303_interaction_energies	64.74
TIME	parts_304_to_304_interaction_energies	67.02
TIME	parts_82_to_82_interaction_energies	60.71
TIME	parts_403_to_403_interaction_energies	59.68
TIME	parts_317_to_317_interaction_energies	64.68
TIME	parts_265_to_265_interaction_energies	64.3
TIME	parts_264_to_264_interaction_energies	63.27
TIME	parts_326_to_326_interaction_energies	67.09
TIME	parts_131_to_131_interaction_energies	62.26
TIME	parts_222_to_222_interaction_energies	64.33
TIME	parts_346_to_346_interaction_energies	62.07
TIME	parts_248_to_248_interaction_energies	63.51
TIME	parts_358_to_358_interaction_energies	70.53
TIME	parts_359_to_359_interaction_energies	71.82
TIME	parts_249_to_249_interaction_energies	62.83
TIME	parts_377_to_377_interaction_energies	57.55
TIME	parts_305_to_305_interaction_energies	68.1
TIME	parts_184_to_184_interaction_energies	61.07
TIME	parts_406_to_406_interaction_energies	60.35
TIME	parts_467_to_467_interaction_energies	138.58
TIME	parts_197_to_197_interaction_energies	63.83
TIME	parts_266_to_266_interaction_energies	64.97
TIME	parts_105_to_105_interaction_energies	64.31
TIME	parts_327_to_327_interaction_energies	66.16
TIME	parts_223_to_223_interaction_energies	55.1
TIME	parts_132_to_132_interaction_energies	61.43
TIME	parts_350_to_350_interaction_energies	65.1
TIME	parts_351_to_351_interaction_energies	70.0
TIME	parts_281_to_281_interaction_energies	66.19
TIME	parts_250_to_250_interaction_energies	64.78
TIME	parts_443_to_443_interaction_energies	137.51
TIME	parts_207_to_207_interaction_energies	64.0
TIME	parts_493_to_493_interaction_energies	143.21
TIME	parts_379_to_379_interaction_energies	60.2
TIME	parts_185_to_185_interaction_energies	63.14
TIME	parts_306_to_306_interaction_energies	64.53
TIME	parts_407_to_407_interaction_energies	55.31
TIME	parts_273_to_273_interaction_energies	1222.92
TIME	parts_267_to_267_interaction_energies	63.32
TIME	parts_106_to_106_interaction_energies	60.64
TIME	parts_107_to_107_interaction_energies	64.57
TIME	parts_475_to_475_interaction_energies	136.56
TIME	parts_506_to_506_interaction_energies	137.1
TIME	parts_476_to_476_interaction_energies	147.92
TIME	parts_134_to_134_interaction_energies	65.28
TIME	parts_220_to_220_interaction_energies	1244.13
TIME	parts_342_to_342_interaction_energies	70.48
TIME	parts_352_to_352_interaction_energies	69.3
TIME	parts_282_to_282_interaction_energies	64.21
TIME	parts_254_to_254_interaction_energies	64.09
TIME	parts_253_to_253_interaction_energies	62.88
TIME	parts_148_to_148_interaction_energies	63.71
TIME	parts_208_to_208_interaction_energies	64.88
TIME	parts_448_to_448_interaction_energies	136.98
TIME	parts_492_to_492_interaction_energies	147.58
TIME	parts_520_to_520_interaction_energies	138.49
TIME	parts_397_to_397_interaction_energies	58.06
TIME	parts_546_to_546_interaction_energies	133.83
TIME	parts_198_to_198_interaction_energies	61.61
TIME	parts_108_to_108_interaction_energies	61.46
TIME	parts_135_to_135_interaction_energies	55.88
TIME	parts_244_to_244_interaction_energies	67.54
TIME	parts_421_to_421_interaction_energies	58.37
TIME	parts_353_to_353_interaction_energies	68.88
TIME	parts_354_to_354_interaction_energies	74.22
TIME	parts_368_to_368_interaction_energies	58.72
TIME	parts_468_to_468_interaction_energies	136.99
