START	1nsn_2017-08-24	on 2017 August 24 at 14:46:00
TIME	parts_169_to_169_interaction_energies	138.02
TIME	parts_161_to_161_interaction_energies	139.19
TIME	parts_180_to_180_interaction_energies	133.7
TIME	parts_181_to_181_interaction_energies	134.44
TIME	parts_178_to_178_interaction_energies	135.01
TIME	parts_173_to_173_interaction_energies	136.32
TIME	parts_172_to_172_interaction_energies	134.98
TIME	parts_184_to_184_interaction_energies	133.71
TIME	parts_183_to_183_interaction_energies	134.01
TIME	parts_187_to_187_interaction_energies	134.32
TIME	parts_171_to_171_interaction_energies	139.84
TIME	parts_186_to_186_interaction_energies	134.58
TIME	parts_185_to_185_interaction_energies	134.76
TIME	parts_177_to_177_interaction_energies	138.05
TIME	parts_188_to_188_interaction_energies	138.51
TIME	parts_190_to_190_interaction_energies	137.53
TIME	parts_191_to_191_interaction_energies	140.23
TIME	parts_189_to_189_interaction_energies	140.85
TIME	parts_198_to_198_interaction_energies	132.42
TIME	parts_201_to_201_interaction_energies	129.14
TIME	parts_197_to_197_interaction_energies	133.04
TIME	parts_203_to_203_interaction_energies	133.59
TIME	parts_202_to_202_interaction_energies	134.04
TIME	parts_192_to_192_interaction_energies	136.96
TIME	parts_195_to_195_interaction_energies	137.71
TIME	parts_206_to_206_interaction_energies	132.99
TIME	parts_196_to_196_interaction_energies	137.76
TIME	parts_194_to_194_interaction_energies	138.36
TIME	parts_208_to_208_interaction_energies	133.66
TIME	parts_207_to_207_interaction_energies	134.29
TIME	parts_212_to_212_interaction_energies	129.87
TIME	parts_193_to_193_interaction_energies	137.49
TIME	parts_211_to_211_interaction_energies	132.65
TIME	parts_213_to_213_interaction_energies	133.25
TIME	parts_199_to_199_interaction_energies	138.83
TIME	parts_205_to_205_interaction_energies	139.1
TIME	parts_216_to_216_interaction_energies	134.34
TIME	parts_215_to_215_interaction_energies	134.44
TIME	parts_210_to_210_interaction_energies	136.53
TIME	parts_200_to_200_interaction_energies	139.77
TIME	parts_209_to_209_interaction_energies	136.93
TIME	parts_204_to_204_interaction_energies	139.64
TIME	parts_217_to_217_interaction_energies	135.62
TIME	parts_214_to_214_interaction_energies	139.84
TIME	parts_218_to_218_interaction_energies	139.88
TIME	parts_219_to_219_interaction_energies	140.38
TIME	parts_220_to_220_interaction_energies	142.7
TIME	parts_221_to_221_interaction_energies	143.79
TIME	parts_222_to_222_interaction_energies	142.26
TIME	parts_223_to_223_interaction_energies	126.07
TIME	parts_224_to_224_interaction_energies	128.91
TIME	parts_225_to_225_interaction_energies	134.17
TIME	parts_226_to_226_interaction_energies	134.24
TIME	parts_227_to_227_interaction_energies	134.76
TIME	parts_230_to_230_interaction_energies	134.04
TIME	parts_231_to_231_interaction_energies	134.67
TIME	parts_232_to_232_interaction_energies	135.25
TIME	parts_229_to_229_interaction_energies	135.73
TIME	parts_235_to_235_interaction_energies	134.12
TIME	parts_237_to_237_interaction_energies	134.22
TIME	parts_238_to_238_interaction_energies	134.33
TIME	parts_228_to_228_interaction_energies	139.0
TIME	parts_246_to_246_interaction_energies	130.87
TIME	parts_236_to_236_interaction_energies	138.69
TIME	parts_234_to_234_interaction_energies	138.9
TIME	parts_233_to_233_interaction_energies	138.84
TIME	parts_245_to_245_interaction_energies	135.01
TIME	parts_247_to_247_interaction_energies	135.33
TIME	parts_239_to_239_interaction_energies	139.64
TIME	parts_240_to_240_interaction_energies	139.02
TIME	parts_243_to_243_interaction_energies	136.77
TIME	parts_241_to_241_interaction_energies	140.33
TIME	parts_244_to_244_interaction_energies	137.12
TIME	parts_242_to_242_interaction_energies	142.75
TIME	parts_248_to_248_interaction_energies	139.17
TIME	parts_249_to_249_interaction_energies	140.03
TIME	parts_250_to_250_interaction_energies	141.13
TIME	parts_251_to_251_interaction_energies	143.27
TIME	parts_253_to_253_interaction_energies	142.33
TIME	parts_252_to_252_interaction_energies	142.54
TIME	parts_254_to_254_interaction_energies	133.64
TIME	parts_255_to_255_interaction_energies	133.45
TIME	parts_256_to_256_interaction_energies	133.29
TIME	parts_257_to_257_interaction_energies	129.85
TIME	parts_259_to_259_interaction_energies	133.33
TIME	parts_261_to_261_interaction_energies	133.95
TIME	parts_260_to_260_interaction_energies	134.0
TIME	parts_258_to_258_interaction_energies	135.99
TIME	parts_262_to_262_interaction_energies	136.3
TIME	parts_264_to_264_interaction_energies	135.81
TIME	parts_267_to_267_interaction_energies	134.24
TIME	parts_265_to_265_interaction_energies	136.1
TIME	parts_263_to_263_interaction_energies	138.4
TIME	parts_268_to_268_interaction_energies	134.69
TIME	parts_272_to_272_interaction_energies	135.48
TIME	parts_266_to_266_interaction_energies	139.42
TIME	parts_271_to_271_interaction_energies	136.39
TIME	parts_269_to_269_interaction_energies	139.78
TIME	parts_270_to_270_interaction_energies	140.63
TIME	parts_276_to_276_interaction_energies	137.94
TIME	parts_275_to_275_interaction_energies	137.57
TIME	parts_273_to_273_interaction_energies	138.5
TIME	parts_274_to_274_interaction_energies	139.71
TIME	parts_277_to_277_interaction_energies	142.43
TIME	parts_279_to_279_interaction_energies	135.08
TIME	parts_278_to_278_interaction_energies	140.01
TIME	parts_280_to_280_interaction_energies	139.9
TIME	parts_281_to_281_interaction_energies	141.51
TIME	parts_284_to_284_interaction_energies	143.59
TIME	parts_283_to_283_interaction_energies	143.5
TIME	parts_282_to_282_interaction_energies	144.9
TIME	parts_286_to_286_interaction_energies	133.67
TIME	parts_285_to_285_interaction_energies	135.2
