zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
60.0,10.0,-5.0,16.25,1,-151.1775,114,2,62,,,,38,4,5
60.0,10.0,-5.0,16.25,2,-150.5823,92,5,62,61,3,162,,,
60.0,10.0,-5.0,16.25,3,-150.4849,92,5,62,61,3,149,,,
60.0,10.0,-5.0,16.25,4,-150.3891,92,5,62,61,3,170,,,
60.0,10.0,-5.0,16.25,5,-149.7664,92,5,62,61,3,129,,,
