zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
60.0,5.0,5.0,16.25,1,-113.1818,138,1,42,,,,31,5,36
60.0,5.0,5.0,16.25,2,-112.7648,138,1,42,,,,32,5,36
60.0,5.0,5.0,16.25,3,-111.144,138,1,42,,,,31,5,8
60.0,5.0,5.0,16.25,4,-110.8786,138,1,42,,,,31,5,20
60.0,5.0,5.0,16.25,5,-110.727,138,1,42,,,,32,5,8
