zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,2.5,5.0,16.25,1,-178.3429,132,5,315,,,,31,5,36
0.0,2.5,5.0,16.25,2,-177.3103,132,5,315,,,,32,5,36
0.0,2.5,5.0,16.25,3,-177.1904,134,5,315,,,,31,5,36
0.0,2.5,5.0,16.25,4,-177.0954,132,5,315,,,,31,5,29
0.0,2.5,5.0,16.25,5,-176.1578,134,5,315,,,,32,5,36
