START	1nsn_2017-08-24_2	on 2017 August 24 at 15:43:08
TIME	parts_32_to_32_interaction_energies	136.95
TIME	parts_33_to_33_interaction_energies	139.64
TIME	parts_36_to_36_interaction_energies	137.79
TIME	parts_35_to_35_interaction_energies	136.2
TIME	parts_34_to_34_interaction_energies	138.69
TIME	parts_37_to_37_interaction_energies	140.32
TIME	parts_38_to_38_interaction_energies	137.9
TIME	parts_39_to_39_interaction_energies	137.47
TIME	parts_40_to_40_interaction_energies	136.84
TIME	parts_42_to_42_interaction_energies	139.16
TIME	parts_41_to_41_interaction_energies	139.45
TIME	parts_43_to_43_interaction_energies	140.89
TIME	parts_45_to_45_interaction_energies	135.04
TIME	parts_44_to_44_interaction_energies	139.78
TIME	parts_46_to_46_interaction_energies	135.14
TIME	parts_47_to_47_interaction_energies	140.49
TIME	parts_50_to_50_interaction_energies	135.55
TIME	parts_52_to_52_interaction_energies	135.75
TIME	parts_48_to_48_interaction_energies	139.98
TIME	parts_49_to_49_interaction_energies	140.1
TIME	parts_51_to_51_interaction_energies	137.89
TIME	parts_57_to_57_interaction_energies	132.22
TIME	parts_54_to_54_interaction_energies	137.35
TIME	parts_53_to_53_interaction_energies	138.99
TIME	parts_56_to_56_interaction_energies	137.06
TIME	parts_55_to_55_interaction_energies	138.62
TIME	parts_58_to_58_interaction_energies	136.16
TIME	parts_59_to_59_interaction_energies	138.5
TIME	parts_62_to_62_interaction_energies	137.14
TIME	parts_61_to_61_interaction_energies	138.19
TIME	parts_63_to_63_interaction_energies	137.72
TIME	parts_60_to_60_interaction_energies	138.58
TIME	parts_65_to_65_interaction_energies	138.59
TIME	parts_64_to_64_interaction_energies	137.87
TIME	parts_66_to_66_interaction_energies	139.58
TIME	parts_68_to_68_interaction_energies	135.93
TIME	parts_67_to_67_interaction_energies	140.42
TIME	parts_69_to_69_interaction_energies	139.89
TIME	parts_71_to_71_interaction_energies	138.44
TIME	parts_70_to_70_interaction_energies	139.39
TIME	parts_72_to_72_interaction_energies	138.09
TIME	parts_77_to_77_interaction_energies	136.25
TIME	parts_76_to_76_interaction_energies	139.34
TIME	parts_75_to_75_interaction_energies	140.46
TIME	parts_74_to_74_interaction_energies	140.5
