START	rep1_2igf_01	on 2017 June 13 at 03:02:31
TIME	parts_123_to_123_interaction_energies	101.68
TIME	parts_127_to_127_interaction_energies	95.61
TIME	parts_128_to_128_interaction_energies	95.97
TIME	parts_126_to_126_interaction_energies	90.81
TIME	parts_124_to_124_interaction_energies	88.94
TIME	parts_129_to_129_interaction_energies	98.03
TIME	parts_130_to_130_interaction_energies	99.4
TIME	parts_125_to_125_interaction_energies	108.25
TIME	parts_135_to_135_interaction_energies	86.3
TIME	parts_133_to_133_interaction_energies	95.4
TIME	parts_136_to_136_interaction_energies	94.65
TIME	parts_131_to_131_interaction_energies	97.54
TIME	parts_134_to_134_interaction_energies	99.71
TIME	parts_132_to_132_interaction_energies	94.1
TIME	parts_137_to_137_interaction_energies	100.8
TIME	parts_138_to_138_interaction_energies	111.03
TIME	parts_139_to_139_interaction_energies	88.62
TIME	parts_141_to_141_interaction_energies	93.81
TIME	parts_140_to_140_interaction_energies	100.67
TIME	parts_142_to_142_interaction_energies	104.62
TIME	parts_149_to_149_interaction_energies	91.29
TIME	parts_146_to_146_interaction_energies	85.35
TIME	parts_143_to_143_interaction_energies	97.42
TIME	parts_148_to_148_interaction_energies	97.41
TIME	parts_150_to_150_interaction_energies	97.29
TIME	parts_151_to_151_interaction_energies	102.84
TIME	parts_147_to_147_interaction_energies	99.07
TIME	parts_144_to_144_interaction_energies	100.52
TIME	parts_145_to_145_interaction_energies	102.68
TIME	parts_157_to_157_interaction_energies	87.78
TIME	parts_154_to_154_interaction_energies	90.07
TIME	parts_156_to_156_interaction_energies	97.41
TIME	parts_155_to_155_interaction_energies	97.52
TIME	parts_153_to_153_interaction_energies	100.03
TIME	parts_152_to_152_interaction_energies	105.85
TIME	parts_158_to_158_interaction_energies	108.5
TIME	parts_160_to_160_interaction_energies	93.06
TIME	parts_161_to_161_interaction_energies	93.55
TIME	parts_162_to_162_interaction_energies	98.83
TIME	parts_159_to_159_interaction_energies	99.54
TIME	parts_164_to_164_interaction_energies	90.59
TIME	parts_168_to_168_interaction_energies	87.99
TIME	parts_166_to_166_interaction_energies	92.82
TIME	parts_167_to_167_interaction_energies	95.3
TIME	parts_165_to_165_interaction_energies	98.03
TIME	parts_169_to_169_interaction_energies	96.98
TIME	parts_163_to_163_interaction_energies	101.24
