START	bench_2or9	on 2017 May 12 at 22:38:03
TIME	interaction_energies_for_MAPs_part_KCDR3_166	46.34
TIME	interaction_energies_for_MAPs_part_KCDR3_199	45.44
TIME	interaction_energies_for_MAPs_part_KCDR3_160	44.82
TIME	interaction_energies_for_MAPs_part_KCDR3_161	45.0
TIME	interaction_energies_for_MAPs_part_KCDR3_197	48.53
TIME	interaction_energies_for_MAPs_part_KCDR3_162	45.71
TIME	interaction_energies_for_MAPs_part_KCDR3_198	47.64
TIME	interaction_energies_for_MAPs_part_KCDR3_15	44.42
TIME	interaction_energies_for_MAPs_part_KCDR3_158	45.47
TIME	interaction_energies_for_MAPs_part_KCDR3_157	44.25
TIME	interaction_energies_for_MAPs_part_KCDR3_156	44.67
TIME	interaction_energies_for_MAPs_part_KCDR3_159	48.17
TIME	interaction_energies_for_MAPs_part_KCDR3_155	44.18
TIME	interaction_energies_for_MAPs_part_KCDR3_154	44.85
TIME	interaction_energies_for_MAPs_part_KCDR3_152	43.13
TIME	interaction_energies_for_MAPs_part_KCDR3_153	43.77
TIME	interaction_energies_for_MAPs_part_KCDR3_151	44.49
TIME	interaction_energies_for_MAPs_part_KCDR3_150	44.71
TIME	interaction_energies_for_MAPs_part_KCDR3_147	44.96
TIME	interaction_energies_for_MAPs_part_KCDR3_149	43.78
TIME	interaction_energies_for_MAPs_part_KCDR3_14	45.62
TIME	interaction_energies_for_MAPs_part_KCDR3_148	44.89
TIME	interaction_energies_for_MAPs_part_KCDR3_145	44.04
TIME	interaction_energies_for_MAPs_part_KCDR3_146	44.19
TIME	interaction_energies_for_MAPs_part_KCDR3_144	45.05
TIME	interaction_energies_for_MAPs_part_KCDR3_143	43.01
TIME	interaction_energies_for_MAPs_part_KCDR3_140	45.1
TIME	interaction_energies_for_MAPs_part_KCDR3_141	45.67
TIME	interaction_energies_for_MAPs_part_KCDR3_142	44.79
TIME	interaction_energies_for_MAPs_part_KCDR3_135	44.4
TIME	interaction_energies_for_MAPs_part_KCDR3_138	45.23
TIME	interaction_energies_for_MAPs_part_KCDR3_13	45.45
TIME	interaction_energies_for_MAPs_part_KCDR3_137	44.81
TIME	interaction_energies_for_MAPs_part_KCDR3_139	46.15
TIME	interaction_energies_for_MAPs_part_KCDR3_136	45.18
TIME	interaction_energies_for_MAPs_part_KCDR3_134	45.61
TIME	interaction_energies_for_MAPs_part_KCDR3_133	44.43
TIME	interaction_energies_for_MAPs_part_KCDR3_130	44.74
TIME	interaction_energies_for_MAPs_part_KCDR3_132	44.26
TIME	interaction_energies_for_MAPs_part_KCDR3_131	45.09
TIME	interaction_energies_for_MAPs_part_KCDR3_129	43.1
TIME	interaction_energies_for_MAPs_part_KCDR3_127	44.37
TIME	interaction_energies_for_MAPs_part_KCDR3_12	45.58
TIME	interaction_energies_for_MAPs_part_KCDR3_128	44.83
TIME	interaction_energies_for_MAPs_part_KCDR3_126	45.0
TIME	interaction_energies_for_MAPs_part_KCDR3_125	44.11
TIME	interaction_energies_for_MAPs_part_KCDR3_124	45.08
TIME	interaction_energies_for_MAPs_part_KCDR3_121	45.21
TIME	interaction_energies_for_MAPs_part_KCDR3_123	43.66
TIME	interaction_energies_for_MAPs_part_KCDR3_120	44.41
TIME	interaction_energies_for_MAPs_part_KCDR3_115	45.2
TIME	interaction_energies_for_MAPs_part_KCDR3_116	45.79
