START	bench_3bae	on 2017 May 14 at 17:59:23
TIME	interaction_energies_for_MAPs_part_KCDR3_167	61.84
TIME	interaction_energies_for_MAPs_part_KCDR3_169	65.41
TIME	interaction_energies_for_MAPs_part_KCDR3_168	62.86
TIME	interaction_energies_for_MAPs_part_KCDR3_166	61.34
TIME	interaction_energies_for_MAPs_part_KCDR3_165	65.34
TIME	interaction_energies_for_MAPs_part_KCDR3_163	64.61
TIME	interaction_energies_for_MAPs_part_KCDR3_164	63.63
TIME	interaction_energies_for_MAPs_part_KCDR3_162	64.72
TIME	interaction_energies_for_MAPs_part_KCDR3_160	62.95
TIME	interaction_energies_for_MAPs_part_KCDR3_161	62.93
TIME	interaction_energies_for_MAPs_part_KCDR3_159	63.0
TIME	interaction_energies_for_MAPs_part_KCDR3_172	64.75
TIME	interaction_energies_for_MAPs_part_KCDR3_157	61.46
TIME	interaction_energies_for_MAPs_part_KCDR3_156	62.3
TIME	interaction_energies_for_MAPs_part_KCDR3_154	62.82
TIME	interaction_energies_for_MAPs_part_KCDR3_155	66.33
TIME	interaction_energies_for_MAPs_part_KCDR3_150	61.52
TIME	interaction_energies_for_MAPs_part_KCDR3_153	63.19
TIME	interaction_energies_for_MAPs_part_KCDR3_145	60.88
TIME	interaction_energies_for_MAPs_part_KCDR3_14	63.76
TIME	interaction_energies_for_MAPs_part_KCDR3_149	62.4
TIME	interaction_energies_for_MAPs_part_KCDR3_147	63.22
TIME	interaction_energies_for_MAPs_part_KCDR3_148	63.75
TIME	interaction_energies_for_MAPs_part_KCDR3_146	60.73
TIME	interaction_energies_for_MAPs_part_KCDR3_144	61.45
TIME	interaction_energies_for_MAPs_part_KCDR3_143	62.01
TIME	interaction_energies_for_MAPs_part_KCDR3_142	65.16
TIME	interaction_energies_for_MAPs_part_KCDR3_141	65.04
TIME	interaction_energies_for_MAPs_part_KCDR3_13	62.38
TIME	interaction_energies_for_MAPs_part_KCDR3_140	62.87
TIME	interaction_energies_for_MAPs_part_KCDR3_139	61.7
TIME	interaction_energies_for_MAPs_part_KCDR3_133	61.9
TIME	interaction_energies_for_MAPs_part_KCDR3_15	68.67
TIME	interaction_energies_for_MAPs_part_KCDR3_12	61.34
TIME	interaction_energies_for_MAPs_part_KCDR3_134	62.09
TIME	interaction_energies_for_MAPs_part_KCDR3_132	62.31
TIME	interaction_energies_for_MAPs_part_KCDR3_131	63.5
TIME	interaction_energies_for_MAPs_part_KCDR3_125	62.68
TIME	interaction_energies_for_MAPs_part_KCDR3_130	63.77
TIME	interaction_energies_for_MAPs_part_KCDR3_137	60.91
TIME	interaction_energies_for_MAPs_part_KCDR3_136	61.47
TIME	interaction_energies_for_MAPs_part_KCDR3_135	62.41
TIME	interaction_energies_for_MAPs_part_KCDR3_158	73.44
TIME	interaction_energies_for_MAPs_part_KCDR3_128	62.5
TIME	interaction_energies_for_MAPs_part_KCDR3_129	63.87
TIME	interaction_energies_for_MAPs_part_KCDR3_152	68.65
TIME	interaction_energies_for_MAPs_part_KCDR3_124	62.51
TIME	interaction_energies_for_MAPs_part_KCDR3_123	64.22
TIME	interaction_energies_for_MAPs_part_KCDR3_126	62.36
TIME	interaction_energies_for_MAPs_part_KCDR3_122	62.7
TIME	interaction_energies_for_MAPs_part_KCDR3_120	63.6
TIME	interaction_energies_for_MAPs_part_KCDR3_121	64.19
TIME	interaction_energies_for_MAPs_part_KCDR3_151	72.92
TIME	interaction_energies_for_MAPs_part_KCDR3_118	61.43
TIME	interaction_energies_for_MAPs_part_KCDR3_116	64.22
TIME	interaction_energies_for_MAPs_part_KCDR3_117	63.83
TIME	interaction_energies_for_MAPs_part_KCDR3_115	64.11
TIME	interaction_energies_for_MAPs_part_KCDR3_114	65.16
TIME	interaction_energies_for_MAPs_part_KCDR3_138	65.92
TIME	interaction_energies_for_MAPs_part_KCDR3_113	63.78
TIME	interaction_energies_for_MAPs_part_KCDR3_110	62.5
TIME	interaction_energies_for_MAPs_part_KCDR3_112	62.04
TIME	interaction_energies_for_MAPs_part_KCDR3_111	61.61
TIME	interaction_energies_for_MAPs_part_KCDR3_109	63.05
TIME	interaction_energies_for_MAPs_part_KCDR3_108	62.97
TIME	interaction_energies_for_MAPs_part_KCDR3_105	61.99
TIME	interaction_energies_for_MAPs_part_KCDR3_104	63.51
TIME	interaction_energies_for_MAPs_part_KCDR3_106	62.89
TIME	interaction_energies_for_MAPs_part_KCDR3_107	61.97
TIME	interaction_energies_for_MAPs_part_KCDR3_102	61.04
TIME	interaction_energies_for_MAPs_part_KCDR3_101	62.64
TIME	interaction_energies_for_MAPs_part_KCDR3_100	62.63
TIME	interaction_energies_for_MAPs_part_KCDR3_9	63.21
TIME	interaction_energies_for_MAPs_part_KCDR3_98	61.83
TIME	interaction_energies_for_MAPs_part_KCDR3_99	62.71
TIME	interaction_energies_for_MAPs_part_KCDR3_97	61.8
TIME	interaction_energies_for_MAPs_part_KCDR3_96	63.47
TIME	interaction_energies_for_MAPs_part_KCDR3_95	61.03
TIME	interaction_energies_for_MAPs_part_KCDR3_94	64.21
TIME	interaction_energies_for_MAPs_part_KCDR3_92	61.84
TIME	interaction_energies_for_MAPs_part_KCDR3_93	63.59
TIME	interaction_energies_for_MAPs_part_KCDR3_10	67.63
TIME	interaction_energies_for_MAPs_part_KCDR3_90	63.99
TIME	interaction_energies_for_MAPs_part_KCDR3_8	62.24
TIME	interaction_energies_for_MAPs_part_KCDR3_89	61.8
TIME	interaction_energies_for_MAPs_part_KCDR3_85	62.3
TIME	interaction_energies_for_MAPs_part_KCDR3_86	61.73
TIME	interaction_energies_for_MAPs_part_KCDR3_87	61.98
TIME	interaction_energies_for_MAPs_part_KCDR3_88	62.3
TIME	interaction_energies_for_MAPs_part_KCDR3_84	62.24
TIME	interaction_energies_for_MAPs_part_KCDR3_83	62.68
TIME	interaction_energies_for_MAPs_part_KCDR3_81	61.05
TIME	interaction_energies_for_MAPs_part_KCDR3_7	62.72
TIME	interaction_energies_for_MAPs_part_KCDR3_79	63.31
TIME	interaction_energies_for_MAPs_part_KCDR3_80	61.26
TIME	interaction_energies_for_MAPs_part_KCDR3_103	72.14
TIME	interaction_energies_for_MAPs_part_KCDR3_78	64.73
TIME	interaction_energies_for_MAPs_part_KCDR3_76	63.9
TIME	interaction_energies_for_MAPs_part_KCDR3_77	64.81
TIME	interaction_energies_for_MAPs_part_KCDR3_75	61.73
TIME	interaction_energies_for_MAPs_part_KCDR3_82	63.25
TIME	interaction_energies_for_MAPs_part_KCDR3_91	64.22
TIME	interaction_energies_for_MAPs_part_KCDR3_74	62.5
TIME	interaction_energies_for_MAPs_part_KCDR3_71	62.63
TIME	interaction_energies_for_MAPs_part_KCDR3_72	63.45
TIME	interaction_energies_for_MAPs_part_KCDR3_73	64.5
TIME	interaction_energies_for_MAPs_part_KCDR3_70	66.48
TIME	interaction_energies_for_MAPs_part_KCDR3_69	64.99
TIME	interaction_energies_for_MAPs_part_KCDR3_68	62.93
TIME	interaction_energies_for_MAPs_part_KCDR3_66	62.74
TIME	interaction_energies_for_MAPs_part_KCDR3_67	63.82
TIME	interaction_energies_for_MAPs_part_KCDR3_65	61.85
TIME	interaction_energies_for_MAPs_part_KCDR3_64	62.99
TIME	interaction_energies_for_MAPs_part_KCDR3_63	64.55
TIME	interaction_energies_for_MAPs_part_KCDR3_62	62.24
TIME	interaction_energies_for_MAPs_part_KCDR3_61	63.15
TIME	interaction_energies_for_MAPs_part_KCDR3_60	64.64
TIME	interaction_energies_for_MAPs_part_KCDR3_59	63.84
TIME	interaction_energies_for_MAPs_part_KCDR3_58	62.38
TIME	interaction_energies_for_MAPs_part_KCDR3_56	61.83
TIME	interaction_energies_for_MAPs_part_KCDR3_57	61.89
TIME	interaction_energies_for_MAPs_part_KCDR3_55	63.45
TIME	interaction_energies_for_MAPs_part_KCDR3_54	63.37
TIME	interaction_energies_for_MAPs_part_KCDR3_53	61.88
TIME	interaction_energies_for_MAPs_part_KCDR3_6	65.31
TIME	interaction_energies_for_MAPs_part_KCDR3_51	61.26
TIME	interaction_energies_for_MAPs_part_KCDR3_4	62.1
TIME	interaction_energies_for_MAPs_part_KCDR3_50	62.56
TIME	interaction_energies_for_MAPs_part_KCDR3_46	62.1
TIME	interaction_energies_for_MAPs_part_KCDR3_48	64.52
TIME	interaction_energies_for_MAPs_part_KCDR3_52	62.09
TIME	interaction_energies_for_MAPs_part_KCDR3_44	65.43
TIME	interaction_energies_for_MAPs_part_KCDR3_45	62.84
TIME	interaction_energies_for_MAPs_part_KCDR3_11	65.1
TIME	interaction_energies_for_MAPs_part_KCDR3_43	62.37
TIME	interaction_energies_for_MAPs_part_KCDR3_119	62.23
TIME	interaction_energies_for_MAPs_part_KCDR3_42	64.64
TIME	interaction_energies_for_MAPs_part_KCDR3_41	62.0
TIME	interaction_energies_for_MAPs_part_KCDR3_40	60.13
TIME	interaction_energies_for_MAPs_part_KCDR3_38	61.84
TIME	interaction_energies_for_MAPs_part_KCDR3_3	59.46
TIME	interaction_energies_for_MAPs_part_KCDR3_37	61.85
TIME	interaction_energies_for_MAPs_part_KCDR3_39	61.76
TIME	interaction_energies_for_MAPs_part_KCDR3_36	63.79
TIME	interaction_energies_for_MAPs_part_KCDR3_5	69.51
TIME	interaction_energies_for_MAPs_part_KCDR3_49	64.39
TIME	interaction_energies_for_MAPs_part_KCDR3_47	66.72
TIME	interaction_energies_for_MAPs_part_HV_86	149.56
TIME	interaction_energies_for_MAPs_part_HV_88	151.98
TIME	interaction_energies_for_MAPs_part_HV_87	153.12
TIME	interaction_energies_for_MAPs_part_HV_85	150.37
TIME	interaction_energies_for_MAPs_part_HV_84	153.26
TIME	interaction_energies_for_MAPs_part_HV_83	157.39
TIME	interaction_energies_for_MAPs_part_HV_81	150.44
TIME	interaction_energies_for_MAPs_part_HV_80	151.95
TIME	interaction_energies_for_MAPs_part_HV_79	153.01
TIME	interaction_energies_for_MAPs_part_HV_7	158.94
TIME	interaction_energies_for_MAPs_part_HV_78	154.18
TIME	interaction_energies_for_MAPs_part_HV_77	156.72
TIME	interaction_energies_for_MAPs_part_HV_75	153.75
TIME	interaction_energies_for_MAPs_part_HV_76	155.62
TIME	interaction_energies_for_MAPs_part_HV_73	152.5
TIME	interaction_energies_for_MAPs_part_HV_74	155.37
TIME	interaction_energies_for_MAPs_part_HV_72	151.96
TIME	interaction_energies_for_MAPs_part_HV_71	151.99
TIME	interaction_energies_for_MAPs_part_HV_70	154.03
TIME	interaction_energies_for_MAPs_part_HV_6	154.04
TIME	interaction_energies_for_MAPs_part_HV_69	153.23
TIME	interaction_energies_for_MAPs_part_HV_68	153.56
TIME	interaction_energies_for_MAPs_part_HV_67	158.83
TIME	interaction_energies_for_MAPs_part_HV_66	152.79
TIME	interaction_energies_for_MAPs_part_HV_65	152.89
TIME	interaction_energies_for_MAPs_part_HV_64	154.02
TIME	interaction_energies_for_MAPs_part_HV_82	160.28
TIME	interaction_energies_for_MAPs_part_HV_60	152.13
TIME	interaction_energies_for_MAPs_part_HV_5	155.43
TIME	interaction_energies_for_MAPs_part_HV_59	153.13
TIME	interaction_energies_for_MAPs_part_HV_58	152.81
TIME	interaction_energies_for_MAPs_part_HV_57	154.33
TIME	interaction_energies_for_MAPs_part_HV_56	158.03
TIME	interaction_energies_for_MAPs_part_HV_62	153.04
TIME	interaction_energies_for_MAPs_part_HV_53	153.76
TIME	interaction_energies_for_MAPs_part_HV_55	153.35
TIME	interaction_energies_for_MAPs_part_HV_54	158.69
TIME	interaction_energies_for_MAPs_part_HV_52	155.43
TIME	interaction_energies_for_MAPs_part_HV_61	159.58
TIME	interaction_energies_for_MAPs_part_HV_51	158.02
TIME	interaction_energies_for_MAPs_part_HV_50	155.04
TIME	interaction_energies_for_MAPs_part_HV_4	157.38
TIME	interaction_energies_for_MAPs_part_HV_49	156.9
TIME	interaction_energies_for_MAPs_part_HV_47	154.8
TIME	interaction_energies_for_MAPs_part_HV_48	154.57
TIME	interaction_energies_for_MAPs_part_HV_46	153.35
TIME	interaction_energies_for_MAPs_part_HV_45	153.59
TIME	interaction_energies_for_MAPs_part_HV_44	151.83
TIME	interaction_energies_for_MAPs_part_HV_43	150.55
TIME	interaction_energies_for_MAPs_part_HV_42	154.98
TIME	interaction_energies_for_MAPs_part_HV_41	152.61
TIME	interaction_energies_for_MAPs_part_HV_63	167.48
TIME	interaction_energies_for_MAPs_part_HV_40	157.61
TIME	interaction_energies_for_MAPs_part_HV_3	163.15
TIME	interaction_energies_for_MAPs_part_HV_38	155.87
TIME	interaction_energies_for_MAPs_part_HV_39	156.52
TIME	interaction_energies_for_MAPs_part_HV_37	158.06
TIME	interaction_energies_for_MAPs_part_HV_35	154.46
TIME	interaction_energies_for_MAPs_part_HV_34	154.59
TIME	interaction_energies_for_MAPs_part_HV_33	154.47
TIME	interaction_energies_for_MAPs_part_HV_32	162.52
TIME	interaction_energies_for_MAPs_part_HV_31	159.39
TIME	interaction_energies_for_MAPs_part_HV_30	163.35
TIME	interaction_energies_for_MAPs_part_HV_2	153.72
TIME	interaction_energies_for_MAPs_part_HV_29	158.72
TIME	interaction_energies_for_MAPs_part_HV_27	163.01
TIME	interaction_energies_for_MAPs_part_HV_26	164.98
TIME	interaction_energies_for_MAPs_part_HV_25	166.16
TIME	interaction_energies_for_MAPs_part_HV_17	153.89
TIME	interaction_energies_for_MAPs_part_HV_19	156.82
TIME	interaction_energies_for_MAPs_part_HV_23	163.56
TIME	interaction_energies_for_MAPs_part_HV_18	154.26
TIME	interaction_energies_for_MAPs_part_HV_1	155.11
TIME	interaction_energies_for_MAPs_part_HV_21	161.07
TIME	interaction_energies_for_MAPs_part_HV_20	155.49
TIME	interaction_energies_for_MAPs_part_HV_16	152.06
TIME	interaction_energies_for_MAPs_part_HV_22	162.46
TIME	interaction_energies_for_MAPs_part_HV_15	152.96
TIME	interaction_energies_for_MAPs_part_HV_14	154.69
TIME	interaction_energies_for_MAPs_part_HV_140	154.95
TIME	interaction_energies_for_MAPs_part_HV_139	153.52
TIME	interaction_energies_for_MAPs_part_HV_13	163.23
TIME	interaction_energies_for_MAPs_part_HV_138	161.06
TIME	interaction_energies_for_MAPs_part_HV_137	157.53
TIME	interaction_energies_for_MAPs_part_HV_24	165.74
TIME	interaction_energies_for_MAPs_part_HV_28	160.74
TIME	interaction_energies_for_MAPs_part_HV_36	167.28
TIME	interaction_energies_for_MAPs_part_HV_135	156.34
TIME	interaction_energies_for_MAPs_part_HV_134	156.04
TIME	interaction_energies_for_MAPs_part_HV_133	156.01
TIME	interaction_energies_for_MAPs_part_HV_132	155.97
TIME	interaction_energies_for_MAPs_part_HV_131	157.21
TIME	interaction_energies_for_MAPs_part_HV_12	156.15
TIME	interaction_energies_for_MAPs_part_HV_129	156.5
TIME	interaction_energies_for_MAPs_part_HV_130	157.52
TIME	interaction_energies_for_MAPs_part_HV_128	158.34
TIME	interaction_energies_for_MAPs_part_HV_127	161.18
TIME	interaction_energies_for_MAPs_part_HV_126	159.34
TIME	interaction_energies_for_MAPs_part_HV_125	156.54
