60.0 -5.0 -7.5 3.75
60.0 -5.0 -7.5 16.25
60.0 -5.0 -5.0 16.25
60.0 -5.0 -2.5 16.25
120.0 0.0 -7.5 3.75
120.0 -2.5 -2.5 12.5
120.0 -2.5 0.0 12.5
120.0 -5.0 -2.5 13.75
120.0 -2.5 -2.5 13.75
120.0 -5.0 0.0 13.75
120.0 -2.5 0.0 13.75
120.0 0.0 0.0 13.75
120.0 -2.5 2.5 13.75
120.0 -2.5 -5.0 15.0
120.0 0.0 -5.0 15.0
120.0 2.5 -5.0 15.0
120.0 -5.0 -2.5 15.0
120.0 -2.5 -2.5 15.0
120.0 0.0 -2.5 15.0
120.0 -5.0 0.0 15.0
120.0 -2.5 0.0 15.0
120.0 -5.0 2.5 15.0
120.0 0.0 -10.0 16.25
120.0 0.0 -7.5 16.25
120.0 -2.5 -5.0 16.25
120.0 0.0 -5.0 16.25
120.0 2.5 -5.0 16.25
120.0 -5.0 -2.5 16.25
120.0 -2.5 -2.5 16.25
120.0 0.0 -2.5 16.25
120.0 2.5 -2.5 16.25
120.0 -5.0 0.0 16.25
120.0 -2.5 0.0 16.25
120.0 0.0 0.0 16.25
120.0 2.5 0.0 16.25
120.0 -5.0 2.5 16.25
120.0 -2.5 2.5 16.25
180.0 10.0 2.5 15.0
180.0 7.5 5.0 15.0
180.0 10.0 0.0 16.25
180.0 7.5 5.0 16.25
180.0 10.0 5.0 16.25
240.0 7.5 -10.0 3.75
240.0 10.0 2.5 3.75
240.0 7.5 -2.5 15.0
240.0 5.0 0.0 16.25
240.0 10.0 2.5 16.25
300.0 2.5 2.5 3.75
300.0 5.0 5.0 3.75
300.0 -2.5 5.0 16.25
300.0 0.0 5.0 16.25
