START	rep1_3l5w_01	on 2017 June 09 at 21:33:45
TIME	parts_66_to_66_interaction_energies	176.57
TIME	parts_236_to_236_interaction_energies	178.01
TIME	parts_134_to_134_interaction_energies	167.31
TIME	parts_141_to_141_interaction_energies	170.54
TIME	parts_153_to_153_interaction_energies	170.91
TIME	parts_284_to_284_interaction_energies	176.73
TIME	parts_159_to_159_interaction_energies	179.58
TIME	parts_169_to_169_interaction_energies	165.38
TIME	parts_168_to_168_interaction_energies	165.14
TIME	parts_179_to_179_interaction_energies	164.78
TIME	parts_86_to_86_interaction_energies	172.25
TIME	parts_90_to_90_interaction_energies	166.77
TIME	parts_189_to_189_interaction_energies	172.24
TIME	parts_253_to_253_interaction_energies	175.31
TIME	parts_201_to_201_interaction_energies	163.34
TIME	parts_200_to_200_interaction_energies	171.7
TIME	parts_106_to_106_interaction_energies	168.61
TIME	parts_203_to_203_interaction_energies	171.49
TIME	parts_209_to_209_interaction_energies	179.71
TIME	parts_67_to_67_interaction_energies	177.25
TIME	parts_220_to_220_interaction_energies	179.92
TIME	parts_142_to_142_interaction_energies	176.73
TIME	parts_154_to_154_interaction_energies	174.47
TIME	parts_258_to_258_interaction_energies	175.47
TIME	parts_259_to_259_interaction_energies	173.26
TIME	parts_160_to_160_interaction_energies	172.39
TIME	parts_267_to_267_interaction_energies	170.18
TIME	parts_170_to_170_interaction_energies	168.27
TIME	parts_278_to_278_interaction_energies	170.46
TIME	parts_286_to_286_interaction_energies	173.98
TIME	parts_182_to_182_interaction_energies	164.19
TIME	parts_190_to_190_interaction_energies	164.68
TIME	parts_181_to_181_interaction_energies	179.4
TIME	parts_295_to_295_interaction_energies	177.1
TIME	parts_310_to_310_interaction_energies	175.16
TIME	parts_108_to_108_interaction_energies	176.09
TIME	parts_107_to_107_interaction_energies	174.56
TIME	parts_321_to_321_interaction_energies	175.98
TIME	parts_191_to_191_interaction_energies	171.17
TIME	parts_204_to_204_interaction_energies	175.19
TIME	parts_71_to_71_interaction_energies	173.5
TIME	parts_212_to_212_interaction_energies	164.42
TIME	parts_221_to_221_interaction_energies	174.3
TIME	parts_135_to_135_interaction_energies	162.38
TIME	parts_146_to_146_interaction_energies	156.85
TIME	parts_136_to_136_interaction_energies	175.67
TIME	parts_145_to_145_interaction_energies	173.18
TIME	parts_242_to_242_interaction_energies	180.73
TIME	parts_161_to_161_interaction_energies	169.45
TIME	parts_171_to_171_interaction_energies	169.86
TIME	parts_269_to_269_interaction_energies	168.4
TIME	parts_268_to_268_interaction_energies	165.36
TIME	parts_243_to_243_interaction_energies	174.92
TIME	parts_277_to_277_interaction_energies	179.76
TIME	parts_183_to_183_interaction_energies	173.33
TIME	parts_194_to_194_interaction_energies	172.21
TIME	parts_299_to_299_interaction_energies	173.84
TIME	parts_279_to_279_interaction_energies	167.09
TIME	parts_110_to_110_interaction_energies	174.83
TIME	parts_109_to_109_interaction_energies	172.29
TIME	parts_320_to_320_interaction_energies	183.43
TIME	parts_126_to_126_interaction_energies	172.03
TIME	parts_205_to_205_interaction_energies	177.76
TIME	parts_125_to_125_interaction_energies	176.82
TIME	parts_213_to_213_interaction_energies	169.27
TIME	parts_223_to_223_interaction_energies	160.36
TIME	parts_222_to_222_interaction_energies	171.87
TIME	parts_137_to_137_interaction_energies	172.97
TIME	parts_162_to_162_interaction_energies	172.18
TIME	parts_263_to_263_interaction_energies	174.01
TIME	parts_172_to_172_interaction_energies	170.95
TIME	parts_349_to_349_interaction_energies	180.2
TIME	parts_244_to_244_interaction_energies	176.09
TIME	parts_287_to_287_interaction_energies	174.34
TIME	parts_285_to_285_interaction_energies	180.83
TIME	parts_358_to_358_interaction_energies	176.82
TIME	parts_195_to_195_interaction_energies	172.35
TIME	parts_175_to_175_interaction_energies	174.42
TIME	parts_300_to_300_interaction_energies	175.6
TIME	parts_111_to_111_interaction_energies	166.06
TIME	parts_115_to_115_interaction_energies	170.74
TIME	parts_127_to_127_interaction_energies	167.32
TIME	parts_314_to_314_interaction_energies	181.71
TIME	parts_128_to_128_interaction_energies	174.77
TIME	parts_211_to_211_interaction_energies	170.7
TIME	parts_224_to_224_interaction_energies	165.51
TIME	parts_227_to_227_interaction_energies	175.72
TIME	parts_138_to_138_interaction_energies	173.84
TIME	parts_147_to_147_interaction_energies	174.02
TIME	parts_237_to_237_interaction_energies	171.1
TIME	parts_163_to_163_interaction_energies	171.85
TIME	parts_264_to_264_interaction_energies	173.58
TIME	parts_375_to_375_interaction_energies	165.06
TIME	parts_246_to_246_interaction_energies	167.0
TIME	parts_245_to_245_interaction_energies	172.01
TIME	parts_184_to_184_interaction_energies	176.4
TIME	parts_281_to_281_interaction_energies	178.04
TIME	parts_282_to_282_interaction_energies	182.5
TIME	parts_196_to_196_interaction_energies	173.58
TIME	parts_376_to_376_interaction_energies	167.43
TIME	parts_360_to_360_interaction_energies	182.88
