358.96 -1.25 -10 13.75 +0.0292
359.82 5 2.5 11.25 +8.831
358.96 2.5 -1.25 16.25 +0.1715
359.32 2.5 0 10 -5.4313
359.09 10 -10 12.5 +0.0352
355.86 1.25 2.5 15 +2.6248
359.32 8.75 -3.75 12.5 -0.2451
359.32 -3.75 -1.25 11.25 -2.1693
359.32 -5 -1.25 10 -10.6772
355.86 -1.25 -10 15 +0.0199
358.96 7.5 2.5 12.5 +12.4419
355.86 -2.5 -2.5 15 +1.1512
358.85 -3.75 5 16.25 +6.8404
358.96 8.75 1.25 13.75 +0.1925
359.82 -2.5 -7.5 7.5 -4.8522
358.96 -5 3.75 16.25 +6.8111
344.85 6.25 -6.25 5 +28.9366
352.57 -3.75 5 13.75 +19.742
358.85 10 1.25 5 +2.21135e+07
359.32 3.75 3.75 15 +0.793
359.32 5 -6.25 16.25 -0.0279
358.96 -2.5 3.75 12.5 +14.7321
355.86 0 -3.75 12.5 +0.5118
358.85 -2.5 -7.5 16.25 +0.0472
355.86 -1.25 -7.5 13.75 -0.1567
358.96 1.25 -3.75 12.5 +0.0153
352.57 -1.25 -2.5 11.25 +0.7842
358.85 -2.5 -1.25 7.5 -7.5038
358.96 5 -5 11.25 -0.9086
359.82 -5 -7.5 16.25 +0.076
358.85 1.25 -6.25 10 -0.3388
352.57 -5 -2.5 15 +0.9956
359.32 -2.5 1.25 8.75 +1.4692e+06
358.96 8.75 -2.5 12.5 +0.1897
359.82 -1.25 -8.75 7.5 -1.6559
358.85 7.5 -8.75 10 -0.0432
358.85 6.25 1.25 12.5 +0.4789
359.82 -1.25 -2.5 8.75 -9.0592
358.85 6.25 -1.25 12.5 +0.3834
359.32 3.75 -6.25 12.5 -0.6807
344.85 -2.5 -7.5 8.75 +0.0536
358.85 3.75 2.5 12.5 +1.0253
358.85 10 3.75 7.5 +6.91066e+08
359.32 -5 2.5 12.5 +9.7999
352.57 0 0 15 +3.1438
344.85 5 -7.5 16.25 -0.2025
358.85 8.75 1.25 16.25 +0.0512
355.86 0 -1.25 11.25 +0.468
359.82 7.5 -1.25 13.75 +0.5496
