START	bench_3etb	on 2017 May 15 at 10:32:43
TIME	interaction_energies_for_MAPs_part_KCDR3_143	95.57
TIME	interaction_energies_for_MAPs_part_KCDR3_145	96.03
TIME	interaction_energies_for_MAPs_part_KCDR3_141	96.39
TIME	interaction_energies_for_MAPs_part_KCDR3_139	96.25
TIME	interaction_energies_for_MAPs_part_KCDR3_144	96.04
TIME	interaction_energies_for_MAPs_part_KCDR3_140	96.5
TIME	interaction_energies_for_MAPs_part_KCDR3_14	94.47
TIME	interaction_energies_for_MAPs_part_KCDR3_12	96.44
TIME	interaction_energies_for_MAPs_part_KCDR3_129	96.38
TIME	interaction_energies_for_MAPs_part_KCDR3_13	96.21
TIME	interaction_energies_for_MAPs_part_KCDR3_146	94.7
TIME	interaction_energies_for_MAPs_part_KCDR3_142	96.73
TIME	interaction_energies_for_MAPs_part_KCDR3_128	93.86
TIME	interaction_energies_for_MAPs_part_KCDR3_149	94.8
TIME	interaction_energies_for_MAPs_part_KCDR3_132	96.74
TIME	interaction_energies_for_MAPs_part_KCDR3_130	96.76
TIME	interaction_energies_for_MAPs_part_KCDR3_133	97.47
TIME	interaction_energies_for_MAPs_part_KCDR3_148	95.06
TIME	interaction_energies_for_MAPs_part_KCDR3_147	95.02
TIME	interaction_energies_for_MAPs_part_KCDR3_131	97.4
TIME	interaction_energies_for_MAPs_part_KCDR3_137	97.57
TIME	interaction_energies_for_MAPs_part_KCDR3_134	97.42
TIME	interaction_energies_for_MAPs_part_KCDR3_138	97.67
TIME	interaction_energies_for_MAPs_part_KCDR3_135	97.54
TIME	interaction_energies_for_MAPs_part_KCDR3_136	97.45
TIME	interaction_energies_for_MAPs_part_KCDR3_122	94.82
TIME	interaction_energies_for_MAPs_part_KCDR3_120	95.17
TIME	interaction_energies_for_MAPs_part_KCDR3_121	95.45
TIME	interaction_energies_for_MAPs_part_KCDR3_123	94.42
TIME	interaction_energies_for_MAPs_part_KCDR3_124	94.61
TIME	interaction_energies_for_MAPs_part_KCDR3_116	97.25
TIME	interaction_energies_for_MAPs_part_KCDR3_115	97.37
TIME	interaction_energies_for_MAPs_part_KCDR3_114	97.78
TIME	interaction_energies_for_MAPs_part_KCDR3_110	96.09
TIME	interaction_energies_for_MAPs_part_KCDR3_111	96.3
TIME	interaction_energies_for_MAPs_part_KCDR3_10	96.3
TIME	interaction_energies_for_MAPs_part_KCDR3_109	96.85
TIME	interaction_energies_for_MAPs_part_KCDR3_11	99.57
TIME	interaction_energies_for_MAPs_part_KCDR3_113	96.76
TIME	interaction_energies_for_MAPs_part_KCDR3_112	96.5
TIME	interaction_energies_for_MAPs_part_KCDR3_119	99.69
TIME	interaction_energies_for_MAPs_part_KCDR3_118	99.75
TIME	interaction_energies_for_MAPs_part_KCDR3_117	99.99
TIME	interaction_energies_for_MAPs_part_KCDR3_107	97.87
TIME	interaction_energies_for_MAPs_part_KCDR3_104	97.98
TIME	interaction_energies_for_MAPs_part_KCDR3_103	98.08
TIME	interaction_energies_for_MAPs_part_KCDR3_105	98.1
TIME	interaction_energies_for_MAPs_part_KCDR3_101	98.52
TIME	interaction_energies_for_MAPs_part_KCDR3_108	98.37
TIME	interaction_energies_for_MAPs_part_KCDR3_102	98.18
TIME	interaction_energies_for_MAPs_part_KCDR3_106	98.38
TIME	interaction_energies_for_MAPs_part_KCDR3_100	93.21
