START	bench_2j4w	on 2017 May 12 at 23:33:01
TIME	interaction_energies_for_MAPs_part_LV_22	104.0
TIME	interaction_energies_for_MAPs_part_KCDR3_12	54.91
TIME	interaction_energies_for_MAPs_part_KCDR3_128	56.63
TIME	interaction_energies_for_MAPs_part_LV_1	105.7
TIME	interaction_energies_for_MAPs_part_KCDR3_127	55.55
TIME	interaction_energies_for_MAPs_part_KCDR3_130	56.83
TIME	interaction_energies_for_MAPs_part_LV_26	108.56
TIME	interaction_energies_for_MAPs_part_KCDR3_34	57.28
TIME	interaction_energies_for_MAPs_part_LJ_3	57.06
TIME	interaction_energies_for_MAPs_part_LV_18	101.6
TIME	interaction_energies_for_MAPs_part_KCDR3_123	57.0
TIME	interaction_energies_for_MAPs_part_LV_19	102.8
TIME	interaction_energies_for_MAPs_part_KCDR3_126	56.41
TIME	interaction_energies_for_MAPs_part_LV_14	104.03
TIME	interaction_energies_for_MAPs_part_LV_11	104.51
TIME	interaction_energies_for_MAPs_part_LV_12	105.2
TIME	interaction_energies_for_MAPs_part_LV_10	105.71
TIME	interaction_energies_for_MAPs_part_LV_13	106.82
TIME	interaction_energies_for_MAPs_part_LV_23	103.59
TIME	interaction_energies_for_MAPs_part_LV_24	104.41
TIME	interaction_energies_for_MAPs_part_KCDR3_196	57.67
TIME	interaction_energies_for_MAPs_part_KCDR3_24	55.83
TIME	interaction_energies_for_MAPs_part_KCDR3_26	56.93
TIME	interaction_energies_for_MAPs_part_KCDR3_25	56.99
TIME	interaction_energies_for_MAPs_part_KCDR3_112	54.85
TIME	interaction_energies_for_MAPs_part_KCDR3_113	55.61
TIME	interaction_energies_for_MAPs_part_KCDR3_11	55.18
TIME	interaction_energies_for_MAPs_part_KCDR3_119	56.12
TIME	interaction_energies_for_MAPs_part_KCDR3_118	56.19
TIME	interaction_energies_for_MAPs_part_KCDR3_111	56.18
TIME	interaction_energies_for_MAPs_part_KCDR3_117	56.4
TIME	interaction_energies_for_MAPs_part_KCDR3_115	56.31
TIME	interaction_energies_for_MAPs_part_KCDR3_114	56.86
TIME	interaction_energies_for_MAPs_part_KCDR3_110	55.93
TIME	interaction_energies_for_MAPs_part_KCDR3_116	56.95
TIME	interaction_energies_for_MAPs_part_KCDR3_120	56.82
TIME	interaction_energies_for_MAPs_part_KCDR3_121	56.72
