60.0 -5.0 -10.0 3.75
60.0 -2.5 -10.0 3.75
60.0 0.0 -10.0 3.75
60.0 2.5 -10.0 3.75
60.0 5.0 -10.0 3.75
60.0 7.5 -10.0 3.75
60.0 10.0 -10.0 3.75
60.0 -5.0 -7.5 3.75
60.0 -2.5 -7.5 3.75
60.0 0.0 -7.5 3.75
60.0 2.5 -7.5 3.75
60.0 5.0 -7.5 3.75
60.0 7.5 -7.5 3.75
60.0 10.0 -7.5 3.75
60.0 -5.0 -5.0 3.75
60.0 -2.5 -5.0 3.75
60.0 0.0 -5.0 3.75
60.0 2.5 -5.0 3.75
60.0 5.0 -5.0 3.75
60.0 7.5 -5.0 3.75
60.0 10.0 -5.0 3.75
60.0 -5.0 -2.5 3.75
60.0 -2.5 -2.5 3.75
60.0 0.0 -2.5 3.75
60.0 2.5 -2.5 3.75
60.0 5.0 -2.5 3.75
60.0 7.5 -2.5 3.75
60.0 10.0 -2.5 3.75
60.0 -5.0 0.0 3.75
60.0 -2.5 0.0 3.75
60.0 0.0 0.0 3.75
60.0 2.5 0.0 3.75
60.0 5.0 0.0 3.75
60.0 7.5 0.0 3.75
60.0 10.0 0.0 3.75
60.0 -5.0 2.5 3.75
60.0 -2.5 2.5 3.75
60.0 0.0 2.5 3.75
60.0 2.5 2.5 3.75
60.0 5.0 2.5 3.75
60.0 7.5 2.5 3.75
60.0 10.0 2.5 3.75
60.0 -5.0 5.0 3.75
60.0 -2.5 5.0 3.75
60.0 0.0 5.0 3.75
60.0 2.5 5.0 3.75
60.0 5.0 5.0 3.75
60.0 7.5 5.0 3.75
60.0 10.0 5.0 3.75
120.0 -5.0 -10.0 3.75
120.0 -2.5 -10.0 3.75
120.0 0.0 -10.0 3.75
120.0 2.5 -10.0 3.75
120.0 5.0 -10.0 3.75
120.0 7.5 -10.0 3.75
120.0 10.0 -10.0 3.75
120.0 -5.0 -7.5 3.75
120.0 -2.5 -7.5 3.75
120.0 0.0 -7.5 3.75
120.0 2.5 -7.5 3.75
120.0 5.0 -7.5 3.75
120.0 7.5 -7.5 3.75
120.0 10.0 -7.5 3.75
120.0 -5.0 -5.0 3.75
120.0 -2.5 -5.0 3.75
120.0 0.0 -5.0 3.75
120.0 2.5 -5.0 3.75
120.0 5.0 -5.0 3.75
120.0 7.5 -5.0 3.75
120.0 10.0 -5.0 3.75
120.0 -5.0 -2.5 3.75
120.0 -2.5 -2.5 3.75
120.0 0.0 -2.5 3.75
120.0 2.5 -2.5 3.75
120.0 5.0 -2.5 3.75
120.0 7.5 -2.5 3.75
120.0 10.0 -2.5 3.75
120.0 -5.0 0.0 3.75
120.0 -2.5 0.0 3.75
120.0 0.0 0.0 3.75
120.0 2.5 0.0 3.75
120.0 5.0 0.0 3.75
120.0 7.5 0.0 3.75
120.0 10.0 0.0 3.75
120.0 -5.0 2.5 3.75
120.0 -2.5 2.5 3.75
120.0 0.0 2.5 3.75
120.0 2.5 2.5 3.75
120.0 5.0 2.5 3.75
120.0 7.5 2.5 3.75
120.0 10.0 2.5 3.75
120.0 -5.0 5.0 3.75
120.0 -2.5 5.0 3.75
120.0 0.0 5.0 3.75
120.0 2.5 5.0 3.75
120.0 5.0 5.0 3.75
120.0 7.5 5.0 3.75
120.0 10.0 5.0 3.75
180.0 -5.0 -10.0 3.75
180.0 -2.5 -10.0 3.75
180.0 0.0 -10.0 3.75
180.0 2.5 -10.0 3.75
180.0 5.0 -10.0 3.75
180.0 7.5 -10.0 3.75
180.0 10.0 -10.0 3.75
180.0 -5.0 -7.5 3.75
180.0 -2.5 -7.5 3.75
180.0 0.0 -7.5 3.75
180.0 2.5 -7.5 3.75
180.0 5.0 -7.5 3.75
180.0 7.5 -7.5 3.75
180.0 10.0 -7.5 3.75
180.0 -5.0 -5.0 3.75
180.0 -2.5 -5.0 3.75
180.0 0.0 -5.0 3.75
180.0 2.5 -5.0 3.75
180.0 5.0 -5.0 3.75
180.0 7.5 -5.0 3.75
180.0 10.0 -5.0 3.75
180.0 -5.0 -2.5 3.75
180.0 -2.5 -2.5 3.75
180.0 0.0 -2.5 3.75
180.0 2.5 -2.5 3.75
180.0 5.0 -2.5 3.75
180.0 7.5 -2.5 3.75
180.0 10.0 -2.5 3.75
180.0 -5.0 0.0 3.75
180.0 -2.5 0.0 3.75
180.0 0.0 0.0 3.75
180.0 2.5 0.0 3.75
180.0 5.0 0.0 3.75
180.0 7.5 0.0 3.75
180.0 10.0 0.0 3.75
180.0 -5.0 2.5 3.75
180.0 -2.5 2.5 3.75
180.0 0.0 2.5 3.75
180.0 2.5 2.5 3.75
180.0 5.0 2.5 3.75
180.0 7.5 2.5 3.75
180.0 10.0 2.5 3.75
180.0 -5.0 5.0 3.75
180.0 -2.5 5.0 3.75
180.0 0.0 5.0 3.75
180.0 2.5 5.0 3.75
180.0 5.0 5.0 3.75
180.0 7.5 5.0 3.75
180.0 10.0 5.0 3.75
240.0 -5.0 -10.0 3.75
240.0 -2.5 -10.0 3.75
240.0 0.0 -10.0 3.75
240.0 2.5 -10.0 3.75
240.0 5.0 -10.0 3.75
240.0 7.5 -10.0 3.75
240.0 10.0 -10.0 3.75
240.0 -5.0 -7.5 3.75
240.0 -2.5 -7.5 3.75
240.0 0.0 -7.5 3.75
240.0 2.5 -7.5 3.75
240.0 5.0 -7.5 3.75
240.0 7.5 -7.5 3.75
240.0 10.0 -7.5 3.75
240.0 -5.0 -5.0 3.75
240.0 -2.5 -5.0 3.75
240.0 0.0 -5.0 3.75
240.0 2.5 -5.0 3.75
