START	rep1_2r0w_01	on 2017 June 13 at 03:05:22
TIME	parts_72_to_72_interaction_energies	86.59
TIME	parts_70_to_70_interaction_energies	84.0
TIME	parts_77_to_77_interaction_energies	79.85
TIME	parts_97_to_97_interaction_energies	83.0
TIME	parts_79_to_79_interaction_energies	73.72
TIME	parts_80_to_80_interaction_energies	76.18
TIME	parts_82_to_82_interaction_energies	76.41
TIME	parts_78_to_78_interaction_energies	80.15
TIME	parts_83_to_83_interaction_energies	79.99
TIME	parts_81_to_81_interaction_energies	83.37
TIME	parts_84_to_84_interaction_energies	76.78
TIME	parts_85_to_85_interaction_energies	77.01
TIME	parts_86_to_86_interaction_energies	82.0
TIME	parts_88_to_88_interaction_energies	83.76
TIME	parts_87_to_87_interaction_energies	78.87
TIME	parts_90_to_90_interaction_energies	72.66
TIME	parts_89_to_89_interaction_energies	79.87
TIME	parts_91_to_91_interaction_energies	79.5
TIME	parts_94_to_94_interaction_energies	80.16
TIME	parts_95_to_95_interaction_energies	79.98
TIME	parts_96_to_96_interaction_energies	81.83
TIME	parts_93_to_93_interaction_energies	76.33
TIME	parts_92_to_92_interaction_energies	84.26
TIME	parts_101_to_101_interaction_energies	71.98
TIME	parts_100_to_100_interaction_energies	78.8
TIME	parts_99_to_99_interaction_energies	79.49
TIME	parts_106_to_106_interaction_energies	78.24
TIME	parts_105_to_105_interaction_energies	85.68
TIME	parts_107_to_107_interaction_energies	81.21
TIME	parts_103_to_103_interaction_energies	80.39
TIME	parts_104_to_104_interaction_energies	81.43
TIME	parts_102_to_102_interaction_energies	83.2
TIME	parts_112_to_112_interaction_energies	72.85
TIME	parts_113_to_113_interaction_energies	74.35
TIME	parts_98_to_98_interaction_energies	78.01
TIME	parts_109_to_109_interaction_energies	77.5
TIME	parts_110_to_110_interaction_energies	77.59
TIME	parts_111_to_111_interaction_energies	76.87
TIME	parts_114_to_114_interaction_energies	81.75
TIME	parts_108_to_108_interaction_energies	82.7
TIME	parts_115_to_115_interaction_energies	82.13
TIME	parts_116_to_116_interaction_energies	76.71
TIME	parts_117_to_117_interaction_energies	77.69
TIME	parts_118_to_118_interaction_energies	79.19
TIME	parts_136_to_136_interaction_energies	82.26
TIME	parts_121_to_121_interaction_energies	76.91
TIME	parts_122_to_122_interaction_energies	80.59
TIME	parts_119_to_119_interaction_energies	83.91
TIME	parts_120_to_120_interaction_energies	89.18
TIME	parts_124_to_124_interaction_energies	72.59
TIME	parts_123_to_123_interaction_energies	77.37
TIME	parts_125_to_125_interaction_energies	78.16
TIME	parts_127_to_127_interaction_energies	77.27
TIME	parts_126_to_126_interaction_energies	79.8
TIME	parts_129_to_129_interaction_energies	78.29
TIME	parts_128_to_128_interaction_energies	80.49
TIME	parts_130_to_130_interaction_energies	85.52
TIME	parts_131_to_131_interaction_energies	78.99
